date,hf_credit_factor,credit_spread_decimal
2020-01-02,0.929513,0.008282
2020-01-03,0.925695,0.008209
2020-01-06,0.923604,0.008003
2020-01-07,0.925404,0.007838
2020-01-08,0.924450,0.007759
2020-01-09,0.923916,0.007771
2020-01-10,0.927008,0.007667
2020-01-13,0.924584,0.007397
2020-01-14,0.922060,0.007123
2020-01-15,0.921151,0.007260
2020-01-16,0.921535,0.007052
2020-01-17,0.922170,0.007145
2020-01-19,0.925309,0.007193
2020-01-20,0.925394,0.007498
2020-01-21,0.927585,0.007241
2020-01-22,0.927828,0.007176
2020-01-23,0.929854,0.007233
2020-02-03,0.935994,0.007925
2020-02-04,0.934008,0.007878
2020-02-05,0.932957,0.007717
2020-02-06,0.934407,0.007772
2020-02-07,0.941369,0.007923
2020-02-10,0.946041,0.008204
2020-02-11,0.945449,0.007847
2020-02-12,0.941607,0.007642
2020-02-13,0.942677,0.007807
2020-02-14,0.941561,0.007702
2020-02-17,0.934681,0.007114
2020-02-18,0.933152,0.007030
2020-02-19,0.933081,0.006694
2020-02-20,0.928168,0.006691
2020-02-21,0.928442,0.006595
2020-02-24,0.933815,0.006864
2020-02-25,0.933704,0.006580
2020-02-26,0.934506,0.006499
2020-02-27,0.938202,0.006511
2020-02-28,0.945691,0.006985
2020-03-02,0.943177,0.006664
2020-03-03,0.941606,0.006908
2020-03-04,0.947454,0.006993
2020-03-05,0.948317,0.007005
2020-03-06,0.955284,0.007210
2020-03-09,0.968254,0.007609
2020-03-10,0.958576,0.006902
2020-03-11,0.960305,0.007033
2020-03-12,0.959286,0.006916
2020-03-13,0.958122,0.006981
2020-03-16,0.962602,0.007258
2020-03-17,0.965106,0.007564
2020-03-18,0.964007,0.007629
2020-03-19,0.966159,0.007864
2020-03-20,0.971375,0.007935
2020-03-23,0.976706,0.007996
2020-03-24,0.983386,0.008039
2020-03-25,0.986866,0.008474
2020-03-26,0.999249,0.009370
2020-03-27,0.997704,0.008968
2020-03-30,1.001604,0.009694
2020-03-31,1.011519,0.010135
2020-04-01,1.021662,0.010621
2020-04-02,1.019850,0.010090
2020-04-03,1.022290,0.010396
2020-04-07,1.070069,0.012514
2020-04-08,1.083370,0.012389
2020-04-09,1.079529,0.012749
2020-04-10,1.073516,0.012675
2020-04-13,1.068768,0.012321
2020-04-14,1.070855,0.012619
2020-04-15,1.075327,0.013235
2020-04-16,1.077167,0.013491
2020-04-17,1.075016,0.013364
2020-04-20,1.073876,0.013547
2020-04-21,1.076471,0.013460
2020-04-22,1.084690,0.013632
2020-04-23,1.087367,0.013556
2020-04-24,1.084116,0.013176
2020-04-26,1.082031,0.013003
2020-04-27,1.080696,0.012812
2020-04-28,1.080561,0.012702
2020-04-29,1.083454,0.012949
2020-04-30,1.081831,0.012680
2020-05-06,1.070444,0.012325
2020-05-07,1.055548,0.012165
2020-05-08,1.057379,0.012628
2020-05-09,1.054556,0.012610
2020-05-11,1.037722,0.011992
2020-05-12,1.042174,0.012539
2020-05-13,1.043076,0.012681
2020-05-14,1.050613,0.012924
2020-05-15,1.063271,0.013224
2020-05-18,1.052247,0.012628
2020-05-19,1.047938,0.012375
2020-05-20,1.044714,0.012388
2020-05-21,1.042109,0.012238
2020-05-22,1.053648,0.012475
2020-05-25,1.039876,0.011660
2020-05-26,1.019080,0.010478
2020-05-27,1.008009,0.010152
2020-05-28,1.014188,0.010470
2020-05-29,1.013481,0.010989
2020-06-01,1.012788,0.011170
2020-06-02,0.979394,0.009703
2020-06-03,0.986143,0.010020
2020-06-04,0.973134,0.009399
2020-06-05,0.979292,0.009337
2020-06-08,0.989178,0.010393
2020-06-09,0.993567,0.010932
2020-06-10,0.992398,0.010583
2020-06-11,0.995768,0.010591
2020-06-12,0.998516,0.010654
