date,hf_credit_factor,hf_mom_pct
2020-01-31,0.929854,0.040482
2020-02-29,0.945691,1.706197
2020-03-31,1.011519,6.770079
2020-04-30,1.081831,6.848488
2020-05-31,1.013481,-6.436986
2020-06-30,0.982373,-3.001289
2020-07-31,0.946091,-3.669206
2020-08-31,0.921093,-2.659980
2020-09-30,0.914679,-0.678235
2020-10-31,0.923124,0.929115
2020-11-30,0.977413,5.734129
2020-12-31,1.019434,4.222208
2021-01-31,1.008252,-1.081289
2021-02-28,1.008982,0.089306
2021-03-31,1.015201,0.618692
2021-04-30,1.024934,0.962622
2021-05-31,1.020011,-0.474962
2021-06-30,1.022765,0.278743
2021-07-31,1.041908,1.870783
2021-08-31,1.032612,-0.882845
2021-09-30,1.034839,0.221890
2021-10-31,1.013243,-2.094064
2021-11-30,1.030877,1.730771
2021-12-31,1.058259,2.632473
2022-01-31,1.061660,0.337046
2022-02-28,1.035318,-2.493761
2022-03-31,1.048947,1.333152
2022-04-30,1.032925,-1.528790
2022-05-31,1.018066,-1.439001
2022-06-30,1.001956,-1.587551
2022-07-31,0.997376,-0.450481
2022-08-31,1.007635,1.043733
2022-09-30,0.999725,-0.780105
2022-10-31,1.016703,1.690383
2022-11-30,1.042442,2.560194
2022-12-31,1.148849,9.767613
2023-01-31,1.118319,-2.681567
2023-02-28,1.071255,-4.289520
2023-03-31,1.036493,-3.292048
2023-04-30,1.020170,-1.582246
2023-05-31,1.025355,0.515207
2023-06-30,1.047381,2.136431
2023-07-31,1.034674,-1.215639
2023-08-31,1.025773,-0.854780
2023-09-30,1.023818,-0.174053
2023-10-31,1.018313,-0.526796
2023-11-30,0.974693,-4.368908
2023-12-31,0.972135,-0.251998
2024-01-31,0.944430,-2.879302
2024-02-29,0.930464,-1.481872
2024-03-31,0.918933,-1.225521
2024-04-30,0.900565,-1.998134
2024-05-31,0.885271,-1.702634
2024-06-30,0.896701,1.288946
2024-07-31,0.894230,-0.260922
2024-08-31,0.913866,2.191846
2024-09-30,0.969726,5.999207
2024-10-31,0.989861,2.119340
2024-11-30,0.979236,-1.075331
2024-12-31,1.019181,4.023182
2025-01-31,1.013785,-0.516367
2025-02-28,0.995423,-1.818564
2025-03-31,0.982752,-1.264935
2025-04-30,1.003196,2.072811
2025-05-31,0.979573,-2.376091
2025-06-30,0.984762,0.530397
2025-07-31,0.981974,-0.279050
2025-08-31,0.984840,0.296466
2025-09-30,1.006351,2.169159
2025-10-31,0.997731,-0.856896
2025-11-30,1.001733,0.403106
2025-12-31,1.015416,1.360132
2026-01-31,1.015297,-0.008987
2026-02-28,1.017177,0.186222
2026-03-31,1.028700,1.129327
2026-04-30,1.034414,0.558055
2026-05-31,1.052043,1.693902
2026-06-30,1.063359,1.072351
2026-07-31,1.066043,0.253155
