date,credit_hf_ret,spread_ret
2020-01-03,-0.105475,-7.341065
2020-01-06,-0.069051,-16.816085
2020-01-07,-0.001557,-16.921412
2020-01-08,-0.052169,-12.050628
2020-01-09,-0.044669,-3.697125
2020-01-10,0.025342,-17.099616
2020-01-13,-0.075349,-43.516232
2020-01-14,-0.084281,-78.052530
2020-01-15,-0.052431,101.020816
2020-01-16,-0.028750,-140.630811
2020-01-17,-0.023363,-63.189783
2020-01-19,0.025973,-4.271062
2020-01-20,-0.031398,-995.822390
2020-01-21,0.007305,-131.275984
2020-01-22,-0.029131,155.593449
2020-01-23,0.004027,-4.698452
2020-02-03,0.143430,-364.024767
2020-02-04,-0.078501,-20.621664
2020-02-05,-0.052461,-56.899527
2020-02-06,-0.007113,2.961091
2020-02-07,0.100596,60.932625
2020-02-10,0.062056,86.778260
2020-02-11,-0.048098,-82.821516
2020-02-12,-0.102549,-303.837569
2020-02-13,-0.015038,-64.407093
2020-02-14,-0.054508,258.845492
2020-02-17,-0.159645,291.117385
2020-02-18,-0.063691,16.207343
2020-02-19,-0.036070,39.131210
2020-02-20,-0.128305,4.357276
2020-02-21,-0.030345,10.619324
2020-02-24,0.069805,-12.970621
2020-02-25,-0.037368,24.564078
2020-02-26,-0.019402,8.166619
2020-02-27,0.033421,2.685309
2020-02-28,0.107741,-21.123677
2020-03-02,-0.081167,25.183202
2020-03-03,-0.064592,-9.297876
2020-03-04,0.080826,-1.055706
2020-03-05,-0.020557,3.227007
2020-03-06,0.094994,-7.690395
2020-03-09,0.218663,-20.112681
2020-03-10,-0.225890,59.308548
2020-03-11,-0.010126,-2.892749
2020-03-12,-0.057237,9.289161
2020-03-13,-0.073162,0.306833
2020-03-16,0.043502,-9.216035
2020-03-17,0.005041,-11.571373
2020-03-18,-0.053591,0.442030
2020-03-19,0.000928,-9.041239
2020-03-20,0.062024,0.127364
2020-03-23,0.070819,0.734928
2020-03-24,0.098911,1.811770
2020-03-25,0.032319,-21.668798
2020-03-26,0.202558,-62.873205
2020-03-27,-0.056409,97.262804
2020-03-30,0.043995,-68.287403
2020-03-31,0.160091,-122.018526
2020-04-01,0.159013,622.937290
2020-04-02,-0.059267,-123.454179
2020-04-03,0.016781,-211.342468
2020-04-07,0.881197,1622.991074
2020-04-08,0.230094,-8.601764
2020-04-09,-0.088801,15.019947
2020-04-10,-0.127877,-5.789670
2020-04-13,-0.105928,-19.014380
2020-04-14,0.022069,13.932437
2020-04-15,0.070718,28.306903
2020-04-16,0.020453,8.075302
2020-04-17,-0.051676,-6.298691
2020-04-20,-0.033631,5.353800
2020-04-21,0.039044,-4.718963
2020-04-22,0.141981,5.119838
2020-04-23,0.049502,-4.105204
2020-04-24,-0.064195,-15.777068
2020-04-26,-0.040274,-9.220027
2020-04-27,-0.025835,-10.910559
2020-04-28,-0.004251,-7.544301
2020-04-29,0.054336,13.656422
2020-04-30,-0.026954,-15.348420
2020-05-06,-0.199328,-23.366401
2020-05-07,-0.279071,-14.222113
2020-05-08,0.032041,43.404991
2020-05-09,-0.048804,-1.689186
2020-05-11,-0.311279,-42.315748
2020-05-12,0.088220,64.267675
2020-05-13,0.029694,10.264429
2020-05-14,0.148144,16.056172
2020-05-15,0.249947,17.178992
2020-05-18,-0.185740,-28.084016
2020-05-19,-0.065947,-16.063938
2020-05-20,-0.043167,2.139533
2020-05-21,-0.030727,-10.369567
2020-05-22,0.236841,22.135201
2020-05-25,-0.232647,-56.292868
2020-05-26,-0.371227,-187.974442
2020-05-27,-0.189724,55.487593
2020-05-28,0.135298,-40.899537
2020-05-29,0.009843,-109.897294
2020-06-01,0.012870,428.808487
2020-06-02,-0.618182,-549.974078
2020-06-03,0.125058,-29.882935
2020-06-04,-0.230742,71.158237
2020-06-05,0.118498,1.795206
2020-06-08,0.210047,-76.288096
2020-06-09,0.118314,-170.068334
2020-06-10,0.007780,-129.463424
2020-06-11,0.097494,-70.744372
2020-06-12,0.087563,-514.809156
2020-06-15,0.029936,-131.778849
2020-06-16,-0.245126,1822.197320
2020-06-17,-0.107759,41.020277
2020-06-18,0.021804,40.561897
2020-06-19,-0.036715,-17.842439
2020-06-22,-0.260858,72.833815
2020-06-23,0.063668,-16.067089
2020-06-24,0.292554,-68.805441
2020-06-28,0.088130,11.359029
2020-06-29,0.014455,-78.185761
2020-06-30,0.171344,-285.894771
2020-07-01,-0.028908,-193.002244
2020-07-02,0.052035,-199.976352
2020-07-03,-0.011901,-281.682535
2020-07-06,-0.445808,388.403720
2020-07-07,-0.041248,-37.714803
2020-07-08,-0.097863,23.473085
2020-07-09,-0.176676,-4.754964
2020-07-10,0.186481,-87.650278
2020-07-13,-0.259474,418.165720
2020-07-14,0.177942,-135.356983
2020-07-15,0.292848,431.419014
2020-07-16,0.089254,-20.447175
2020-07-17,0.054859,8.859914
2020-07-20,0.162446,32.086237
2020-07-21,0.310997,38.529424
2020-07-22,0.012706,-12.559257
2020-07-23,-0.063693,-32.608053
2020-07-24,0.046491,20.016781
2020-07-27,-0.032977,-50.415742
2020-07-28,-0.129813,-55.533525
2020-07-29,-0.044225,-85.778610
2020-07-30,0.000818,431.482494
2020-07-31,-0.114932,-142.410609
2020-08-03,0.026244,-354.830443
2020-08-04,0.039916,35.835660
2020-08-05,0.004029,-0.205452
2020-08-06,0.042723,-147.682612
2020-08-07,-0.027909,-110.606123
2020-08-10,0.081305,2007.858626
2020-08-11,-0.005254,-53.502382
2020-08-12,-0.011222,-46.573531
2020-08-13,-0.017505,-30.342540
2020-08-14,0.024087,89.861496
2020-08-17,0.003920,-167.714325
2020-08-18,-0.037026,234.707748
2020-08-19,-0.044463,158.109064
2020-08-20,-0.137805,39.789858
2020-08-21,0.014432,-4.123528
2020-08-24,-0.080131,42.414865
2020-08-25,-0.182080,6.000475
2020-08-26,0.054798,-6.261848
2020-08-27,0.042434,0.859471
2020-08-28,-0.015452,-4.192431
2020-08-31,0.149601,-40.267070
2020-09-01,-0.030358,10.669676
2020-09-02,-0.058279,10.230830
2020-09-03,-0.022312,22.875376
2020-09-04,-0.010345,-15.755184
2020-09-07,-0.082909,15.661335
2020-09-08,0.008466,-20.578501
2020-09-09,0.177278,-60.496628
2020-09-10,0.093291,-26.221443
2020-09-11,-0.091202,89.384631
2020-09-14,-0.070681,-23.748521
2020-09-15,0.154714,-118.085226
2020-09-16,0.071451,299.222107
2020-09-17,-0.049536,-72.793140
2020-09-18,0.051202,-134.172819
2020-09-21,0.059777,-1009.109206
2020-09-22,0.041973,-110.308935
2020-09-23,-0.027872,25.503655
2020-09-24,-0.018594,716.454076
2020-09-25,-0.141273,101.430575
2020-09-27,0.002920,-11.889284
2020-09-28,-0.015825,-34.296619
2020-09-29,-0.049640,57.265278
2020-09-30,-0.022779,50.605800
2020-10-09,-0.174406,38.407411
2020-10-10,0.030835,-30.124487
2020-10-12,-0.027455,8.679319
2020-10-13,0.019173,-9.269277
2020-10-14,-0.013686,36.212051
2020-10-15,-0.026137,26.610174
2020-10-16,-0.015281,-1.245445
2020-10-19,0.050761,-8.948845
2020-10-20,0.005712,31.486287
2020-10-21,0.039120,-16.416974
2020-10-22,0.048371,-33.931872
2020-10-23,-0.013715,10.104641
2020-10-26,-0.049393,45.591139
2020-10-27,0.066239,0.501893
2020-10-28,0.022886,10.738519
2020-10-29,0.035328,4.786862
