日期,国开债_3Y,中短期票据AA_3Y,企业债AA财富_3-5年,国开债总财富_3-5年,利差_AA中票减国开_bp
2020-01-02,2.9489,3.7771,222.4630,196.1484,82.8200
2020-01-03,2.9662,3.7871,222.5730,196.0862,82.0900
2020-01-06,2.9569,3.7572,222.7298,196.1366,80.0300
2020-01-07,2.9740,3.7578,222.7539,196.2025,78.3800
2020-01-08,2.9599,3.7358,222.8251,196.2106,77.5900
2020-01-09,2.9591,3.7362,222.8856,196.2240,77.7100
2020-01-10,2.9503,3.7170,222.9407,196.3701,76.6700
2020-01-13,2.9574,3.6971,223.1000,196.4103,73.9700
2020-01-14,2.9931,3.7054,223.1446,196.3320,71.2300
2020-01-15,2.9868,3.7128,223.1984,196.3244,72.6000
2020-01-16,2.9888,3.6940,223.2295,196.3434,70.5200
2020-01-17,2.9798,3.6943,223.2703,196.3816,71.4500
2020-01-19,2.9770,3.6963,223.3247,196.5288,71.9300
2020-01-20,2.9664,3.7162,223.4100,196.5906,74.9800
2020-01-21,2.9767,3.7008,223.4622,196.6995,72.4100
2020-01-22,2.9783,3.6959,223.5368,196.7566,71.7600
2020-01-23,2.9759,3.6992,223.5905,196.8607,72.3300
2020-02-03,2.7691,3.5616,224.6458,198.1231,79.2500
2020-02-04,2.7892,3.5770,224.6156,197.9905,78.7800
2020-02-05,2.8031,3.5748,224.7215,198.0296,77.1700
2020-02-06,2.7898,3.5670,224.7824,198.1190,77.7200
2020-02-07,2.7453,3.5376,224.8764,198.4514,79.2300
2020-02-10,2.6921,3.5125,225.0671,198.7933,82.0400
2020-02-11,2.7178,3.5025,225.1028,198.7797,78.4700
2020-02-12,2.7060,3.4702,225.2725,198.7763,76.4200
2020-02-13,2.6919,3.4726,225.3314,198.8492,78.0700
2020-02-14,2.7046,3.4748,225.4326,198.8811,77.0200
2020-02-17,2.7420,3.4534,225.6230,198.7827,71.1400
2020-02-18,2.7404,3.4434,225.7045,198.7792,70.3000
2020-02-19,2.7518,3.4212,225.7822,198.8274,66.9400
2020-02-20,2.7515,3.4206,225.8698,198.7011,66.9100
2020-02-21,2.7544,3.4139,225.9342,198.7492,65.9500
2020-02-24,2.7255,3.4119,226.0414,199.0343,68.6400
2020-02-25,2.7422,3.4002,226.1140,199.0759,65.8000
2020-02-26,2.7332,3.3831,226.1953,199.1610,64.9900
2020-02-27,2.7220,3.3731,226.2357,199.3154,65.1100
2020-02-28,2.6769,3.3754,226.3094,199.6476,69.8500
2020-03-02,2.6753,3.3417,226.4176,199.6333,66.6400
2020-03-03,2.6666,3.3574,226.5011,199.6302,69.0800
2020-03-04,2.6235,3.3228,226.6505,199.9756,69.9300
2020-03-05,2.6297,3.3302,226.6915,200.0227,70.0500
2020-03-06,2.5700,3.2910,226.7204,200.2902,72.1000
2020-03-09,2.4859,3.2468,226.9201,200.9572,76.0900
2020-03-10,2.5723,3.2625,226.8621,200.5038,69.0200
2020-03-11,2.5852,3.2885,226.7885,200.4693,70.3300
2020-03-12,2.5955,3.2871,226.7990,200.4142,69.1600
2020-03-13,2.6299,3.3280,226.5786,200.1227,69.8100
2020-03-16,2.6327,3.3585,226.5119,200.1999,72.5800
2020-03-17,2.6466,3.4030,226.4242,200.1808,75.6400
2020-03-18,2.6375,3.4004,226.5003,200.1883,76.2900
2020-03-19,2.6121,3.3985,226.4422,200.1854,78.6400
2020-03-20,2.5975,3.3910,226.4242,200.3393,79.3500
2020-03-23,2.5420,3.3416,226.5132,200.6046,79.9600
2020-03-24,2.4974,3.3013,226.6387,200.9578,80.3900
2020-03-25,2.4640,3.3114,226.6500,201.0749,84.7400
2020-03-26,2.3925,3.3295,226.6822,201.5520,93.7000
2020-03-27,2.4229,3.3197,226.7823,201.5665,89.6800
2020-03-30,2.3770,3.3464,226.8225,201.7285,96.9400
2020-03-31,2.3193,3.3328,226.8970,202.1539,101.3500
2020-04-01,2.2753,3.3374,226.8604,202.4769,106.2100
2020-04-02,2.3000,3.3090,226.9320,202.4527,100.9000
2020-04-03,2.2686,3.3082,226.9089,202.4958,103.9600
2020-04-07,1.9783,3.2297,227.1777,204.5578,125.1400
2020-04-08,1.8930,3.1319,227.3489,205.2089,123.8900
2020-04-09,1.8575,3.1324,227.4892,205.1761,127.4900
2020-04-10,1.8760,3.1435,227.6278,205.0589,126.7500
2020-04-13,1.9118,3.1439,227.7068,204.9303,123.2100
2020-04-14,1.8824,3.1443,227.7782,205.0544,126.1900
2020-04-15,1.8227,3.1462,227.9111,205.3309,132.3500
2020-04-16,1.7929,3.1420,227.9864,205.4495,134.9100
2020-04-17,1.8111,3.1475,228.0697,205.4241,133.6400
2020-04-20,1.7949,3.1496,228.1074,205.3916,135.4700
2020-04-21,1.7809,3.1269,228.1841,205.5404,134.6000
2020-04-22,1.7418,3.1050,228.2052,205.8478,136.3200
2020-04-23,1.6865,3.0421,228.4087,206.1265,135.5600
2020-04-24,1.7187,3.0363,228.4925,206.0597,131.7600
2020-04-26,1.7366,3.0369,228.5930,206.0540,130.0300
2020-04-27,1.7593,3.0405,228.6721,206.0555,128.1200
2020-04-28,1.7579,3.0281,228.7061,206.0576,127.0200
2020-04-29,1.7561,3.0510,228.7629,206.1978,129.4900
2020-04-30,1.7616,3.0296,228.8322,206.1785,126.8000
2020-05-06,1.8183,3.0508,229.0371,205.9229,123.2500
2020-05-07,1.8898,3.1063,228.9216,205.2132,121.6500
2020-05-08,1.8894,3.1522,228.8002,205.1348,126.2800
2020-05-09,1.8994,3.1604,228.7613,204.9616,126.1000
2020-05-11,2.0004,3.1996,228.6674,204.1997,119.9200
2020-05-12,1.9587,3.2126,228.6066,204.2817,125.3900
2020-05-13,1.9421,3.2102,228.6668,204.3495,126.8100
2020-05-14,1.9218,3.2142,228.6022,204.5452,129.2400
2020-05-15,1.8797,3.2021,228.6438,205.0422,132.2400
2020-05-18,1.9447,3.2075,228.7536,204.7053,126.2800
2020-05-19,1.9898,3.2273,228.7425,204.5033,123.7500
2020-05-20,1.9985,3.2373,228.7600,204.3712,123.8800
2020-05-21,2.0061,3.2299,228.7737,204.2589,122.3800
2020-05-22,1.9665,3.2140,228.8445,204.7425,124.7500
2020-05-25,2.0489,3.2149,228.9335,204.2801,116.6000
2020-05-26,2.1923,3.2401,228.8811,203.4088,104.7800
2020-05-27,2.2778,3.2930,228.8232,202.9024,101.5200
2020-05-28,2.2684,3.3154,228.7767,203.0645,104.7000
2020-05-29,2.2360,3.3349,228.7831,203.0172,109.8900
2020-06-01,2.2386,3.3556,228.8258,203.0067,111.7000
2020-06-02,2.5024,3.4727,228.5918,201.4739,97.0300
2020-06-03,2.5478,3.5498,228.1253,201.2377,100.2000
2020-06-04,2.6546,3.5945,227.9659,200.5560,93.9900
2020-06-05,2.7198,3.6535,227.5577,200.3556,93.3700
2020-06-08,2.6633,3.7026,227.4871,200.6348,103.9300
2020-06-09,2.6026,3.6958,227.6262,200.9143,109.3200
2020-06-10,2.6275,3.6858,227.6709,200.8877,105.8300
2020-06-11,2.5968,3.6559,227.7720,201.0904,105.9100
2020-06-12,2.5552,3.6206,227.9004,201.2967,106.5400
2020-06-15,2.5620,3.6118,228.0695,201.4224,104.9800
2020-06-16,2.6221,3.6181,228.0947,200.8672,99.6000
2020-06-17,2.6789,3.6490,228.0871,200.5596,97.0100
2020-06-18,2.6984,3.6341,228.1112,200.5396,93.5700
2020-06-19,2.7109,3.6603,228.1617,200.4252,94.9400
