date,上证50,沪深300,中证500,中证1000,恒生指数,中债国债,中债企业债,中证转债,布伦特原油,沪金,标普500,美元兑人民币
2018-01-01,,,,,,,,285.99,66.62,,,6.50570011138916
2018-01-02,2908.732,4087.401,6332.227,7092.095,30515.311,147.4437,165.0237,285.99,66.55,279.4,2695.81005859375,6.505799770355225
2018-01-03,2913.26,4111.393,6388.253,7159.876,30560.949,147.4054,165.0774,289.67,67.92,280.35,2713.06005859375,6.49399995803833
2018-01-04,2919.479,4128.812,6417.535,7174.865,30736.48,147.2246,165.1043,290.19,67.98,279.0,2723.989990234375,6.5030999183654785
2018-01-05,2932.356,4138.751,6417.254,7176.868,30814.641,147.4011,165.1658,292.84,67.79,279.85,2743.14990234375,6.493299961090088
2018-01-08,2947.761,4160.16,6446.182,7188.291,30899.529,147.5691,165.2774,292.97,67.92,280.2,2747.7099609375,6.487500190734863
2018-01-09,2969.318,4189.298,6445.746,7176.742,31011.41,147.5858,165.382,291.52,69.16,280.55,2751.2900390625,6.497600078582764
2018-01-10,2995.564,4207.813,6405.94,7138.781,31073.721,147.557,165.3787,291.69,69.1,279.95,2748.22998046875,6.529399871826172
2018-01-11,2997.045,4205.586,6425.94,7175.398,31120.391,147.4467,165.3388,290.97,69.11,280.85,2767.56005859375,6.507199764251709
2018-01-12,3018.596,4225.001,6399.374,7127.828,31412.539,147.4641,165.3269,291.26,69.81,281.55,2786.239990234375,6.490200042724609
2018-01-15,3048.808,4225.239,6253.376,6929.307,31338.869,147.4461,165.4117,289.48,70.22,282.05,,6.456200122833252
2018-01-16,3063.861,4258.473,6301.133,6960.677,31904.75,147.4463,165.4109,291.08,69.32,281.85,2776.419921875,6.435200214385986
2018-01-17,3076.182,4248.116,6267.46,6942.863,31983.41,147.3694,165.3822,291.86,69.45,280.8,2802.56005859375,6.442299842834473
2018-01-18,3106.552,4271.417,6286.801,6955.232,32121.939,147.3116,165.4061,294.79,69.14,279.25,2798.030029296875,6.43209981918335
2018-01-19,3117.821,4285.395,6272.38,6938.312,32254.891,147.4291,165.3776,298.24,68.65,278.35,2810.300048828125,6.420599937438965
2018-01-22,3130.33,4336.597,6347.638,7014.548,32393.41,147.5231,165.4219,301.47,69.23,278.5,2832.969970703125,6.4029998779296875
2018-01-23,3176.504,4382.613,6354.998,7019.975,32930.699,147.6227,165.4546,306.45,69.84,279.4,2839.1298828125,6.404399871826172
2018-01-24,3180.332,4389.885,6394.3,7072.406,32958.691,147.5925,165.4659,310.07,70.75,280.7,2837.5400390625,6.402900218963623
2018-01-25,3157.459,4365.079,6382.717,7062.635,32654.449,147.6572,165.4713,309.76,70.04,281.75,2839.25,6.36929988861084
2018-01-26,3172.778,4381.3,6383.631,7056.013,33154.121,147.6964,165.4722,309.82,69.94,279.95,2872.8701171875,6.322800159454346
2018-01-29,3120.695,4302.018,6309.884,6972.479,32966.891,147.751,165.5522,304.24,69.16,278.7,2853.530029296875,6.315899848937988
2018-01-30,3079.118,4256.102,6313.442,6955.243,32607.289,147.7206,165.5713,300.95,68.11,276.35,2822.429931640625,6.336299896240234
2018-01-31,3116.833,4275.899,6189.341,6791.009,32887.27,147.8019,165.6104,302.24,68.88,276.6,2823.81005859375,6.321100234985352
2018-02-01,3141.23,4245.898,5984.743,6506.453,32642.09,147.8382,165.6057,299.42,69.78,276.05,2821.97998046875,6.2881999015808105
2018-02-02,3149.641,4271.233,6004.849,6487.867,32601.779,147.8692,165.7019,302.54,68.23,276.4,2762.1298828125,6.298399925231934
2018-02-05,3181.339,4274.146,5998.224,6461.813,32245.221,147.8133,165.7384,306.71,66.92,274.0,2648.93994140625,6.307600021362305
2018-02-06,3117.491,4148.886,5704.264,6142.668,30595.42,147.9916,165.8178,302.22,67.22,276.0,2695.139892578125,6.289700031280518
2018-02-07,3029.601,4050.497,5711.332,6158.257,30323.199,148.0769,165.8412,300.05,65.35,272.3,2681.659912109375,6.28249979019165
2018-02-08,2945.844,4012.047,5766.48,6238.221,30451.27,148.0834,165.9478,295.02,64.31,271.7,2581.0,6.267600059509277
