,增长因子,通胀因子,利率因子,信用因子,汇率因子,地缘因子,流动性因子,R方
上证50,0.223329,0.017063,0.262399,0.000000,-0.001922,0.000000,-0.450113,0.416360
沪深300,0.233133,0.051692,0.235671,0.000000,0.000000,0.000000,-0.312643,0.320878
中证500,0.233765,0.053543,0.211333,0.000000,0.000000,0.000000,0.040417,0.196766
中证1000,0.250467,0.082466,0.267666,0.000000,0.000000,-0.029701,0.218965,0.219440
恒生指数,0.226175,0.059253,0.291586,0.000000,-0.190144,0.000000,-0.256078,0.302975
中债国债,0.020610,-0.011822,-0.884660,0.066775,0.020155,-0.013304,0.009615,0.872391
中债企业债,0.000000,0.007072,-1.002617,-0.544765,0.000000,-0.002543,-0.021210,0.579486
中证转债,0.243448,0.066965,0.000000,-0.041920,0.000000,-0.083597,0.000000,0.125516
布伦特原油,0.000000,0.000000,0.000000,0.000000,0.000000,0.906329,0.000000,0.916239
沪金,0.085782,0.000000,-0.061990,0.000000,-0.165146,0.000000,-0.003568,0.122145
标普500,0.091290,0.000000,-0.002881,0.000000,-0.453995,0.050746,0.015704,0.267858
美元兑人民币,-0.179570,-0.009905,-0.124572,0.000000,0.440818,0.081417,0.132057,0.232746
