,asset_return,asset_return,asset_return,asset_return,asset_return,asset_return,asset_return,asset_return,asset_return,asset_return,asset_return,asset_return,macro_factor,macro_factor,macro_factor,macro_factor,macro_factor,macro_factor,macro_factor
,上证50,沪深300,中证500,中证1000,恒生指数,中债国债,中债企业债,中证转债,布伦特原油,沪金,标普500,美元兑人民币,增长因子,通胀因子,利率因子,信用因子,汇率因子,地缘因子,流动性因子
2020-01-03,1.984954,3.010809,3.815752,3.697335,0.797789,-0.058789,0.152542,2.377633,2.686112,1.682836,-0.159692,-0.471362,-1.164145,-1.398752,0.087571,-0.410767,-0.082578,2.401712,-0.316130
2020-01-10,-0.338358,0.438606,1.833994,2.523923,0.654057,0.255430,0.183174,-0.378681,-5.369514,-0.531081,0.938440,-0.168158,0.247021,1.442447,-0.317665,0.142794,0.535536,-5.297370,1.097088
2020-01-17,-0.480572,-0.200336,0.542608,0.469156,1.449800,0.079466,0.142755,-0.067975,0.107502,-0.436106,1.949123,-1.064383,0.212514,0.546499,0.013100,-0.522480,0.256450,0.217784,0.747812
2020-01-24,-4.032846,-3.700791,-2.430439,-3.116463,-3.883510,0.504184,0.135487,-0.719397,-7.107815,0.841809,-1.030943,0.832510,-4.185764,0.720561,-0.629314,0.830936,0.245572,-5.977458,1.046446
2020-02-14,1.508805,2.228019,1.744879,2.550356,1.489817,-0.020475,0.297347,1.538274,4.942815,0.697533,1.563865,0.094648,1.773693,1.810271,0.191636,0.022589,0.444897,4.472882,-0.244489
2020-02-21,2.492760,3.976229,6.485706,8.620082,-1.838762,-0.127231,0.201485,2.708988,2.058006,4.150566,-1.262609,0.657202,0.747517,1.768258,0.043519,-1.398819,0.141143,1.915286,0.494355
2020-02-28,-5.082850,-5.179228,-5.924874,-6.151821,-4.412800,0.577015,0.219467,-2.035320,-15.723657,-0.517605,-12.206228,-0.269500,-2.186744,-0.518649,-0.481450,1.846369,-1.144959,-13.797470,1.146656
2020-03-06,4.971506,4.914193,5.575511,7.001269,0.064044,0.443877,0.202186,2.218809,-9.402895,1.635294,0.612501,-0.968480,1.599392,1.315734,-0.460372,1.014424,-2.246591,-8.174365,-0.337081
2020-03-13,-5.764135,-6.056106,-5.467137,-5.740314,-8.429770,-0.186015,-0.046808,-2.515786,-22.402422,-5.374819,-9.203470,1.326235,-3.439261,-9.182516,0.031812,0.311131,2.876421,-18.748732,1.111714
2020-03-20,-6.279865,-6.416397,-4.457637,-4.735656,-5.244126,0.017081,-0.080007,-0.930239,-21.307601,-4.775535,-16.227902,1.119112,-12.141696,1.554803,0.188784,1.376917,4.038848,-17.024675,1.985764
2020-03-27,2.740543,1.543825,-1.582480,-2.082366,2.934834,0.566199,0.217483,-0.457004,-3.819909,7.864263,9.769671,-0.487982,1.863804,-1.916062,-0.479881,2.686811,-4.424398,-1.099719,-1.142527
2020-04-03,0.272815,0.085057,-0.591507,-0.840691,-1.062373,0.369117,0.124174,-0.599248,20.247117,-1.121671,-2.100229,0.142691,-0.505723,-1.861957,-0.158253,2.445471,2.221754,17.952329,0.247235
2020-04-10,1.503031,1.495805,1.967404,2.340476,4.478244,0.969739,0.482775,0.331457,-9.009110,2.783609,11.423675,-0.580515,3.577139,-19.260583,-0.597170,5.005150,-1.059485,-9.263299,0.213901
2020-04-17,2.131033,1.848182,2.088902,1.278192,0.327319,0.460128,0.085896,0.079843,-11.202615,-0.418276,2.992254,0.518380,4.712035,-4.332751,-0.076251,0.142010,0.260915,-7.304871,-0.013255
2020-04-24,-1.183556,-1.113486,-0.847966,-0.606788,-2.276202,0.683668,0.192396,-0.196870,-11.977547,2.808280,-1.324414,-0.192313,-0.802936,-0.263928,-0.389028,0.846954,0.599521,-9.219613,0.705675
2020-05-01,3.046849,2.999233,1.511460,0.046787,3.351572,0.252188,0.094989,0.921089,5.923930,-0.655259,-0.212795,-0.055216,-0.905767,-5.011501,0.058739,-0.210298,-1.586532,5.765132,-1.022117
2020-05-08,0.387277,1.296202,2.832877,3.199338,-1.691828,-0.495129,-0.075953,-0.042456,14.822553,0.811884,3.440663,0.318132,2.166988,5.767270,0.575229,-2.270615,0.936893,10.949010,0.711191
2020-05-15,-1.873400,-1.290093,0.004303,0.463042,-1.801924,-0.235757,-0.124128,-1.552055,5.823833,1.753025,-2.281970,0.153754,-1.349562,-0.832847,0.453139,0.579652,0.669565,5.583712,1.031853
2020-05-22,-1.568471,-2.294359,-3.317106,-3.559759,-3.712707,-0.120048,0.069972,-2.494998,7.792331,1.075800,3.153643,0.275880,1.969318,-10.092806,-0.005960,-0.895985,-0.539301,8.379725,0.060597
2020-05-29,1.105399,1.117123,1.455380,2.302701,0.136539,-0.704860,-0.122457,0.786943,6.197158,0.010142,2.962339,0.433396,0.996422,-5.403758,0.733371,-3.850037,-1.533839,2.791447,0.329041
2020-06-05,3.145473,3.412210,3.258783,3.362920,7.583216,-1.240354,-0.665016,0.414466,10.801585,-1.080816,4.797782,-0.505105,4.340769,9.210845,1.228953,-3.362919,-1.433857,10.120947,-0.732358
2020-06-12,-0.423288,0.045775,0.108509,0.263048,-1.911662,0.354168,0.178921,-0.347218,-7.686558,0.877781,-4.896375,-0.636413,2.450394,5.270642,-0.485606,1.951139,0.391226,-12.905868,0.301861
2020-06-19,1.439599,2.360748,3.439433,2.552658,1.399586,-0.471130,0.023062,0.870140,7.686558,-0.172905,1.838445,0.343404,0.731656,5.604591,0.658620,-2.647291,0.307790,11.237720,-0.611562
2020-06-26,0.597575,0.977951,0.033534,0.651828,-0.381759,0.049673,-0.133101,-0.514185,-3.127149,1.795761,-2.904838,-0.158129,1.291489,0.108168,-0.028023,0.129510,-0.123004,-1.473384,-0.093786
2020-07-03,7.071536,6.559649,4.433289,3.948042,3.297886,0.086339,0.211594,4.178265,5.205636,0.119910,3.941177,-0.165459,0.393728,2.304392,0.045958,0.435569,-0.184786,5.656321,-2.538715
2020-07-10,5.918601,7.275569,9.827663,9.870519,1.386665,-0.951118,-0.582591,3.914013,0.907511,0.333990,1.742866,-1.029978,5.163194,5.448270,1.078590,-3.475983,-0.690829,1.313447,-0.420576
