date,恒生指数,CAD,申万房地产
2017-07-24,21.171582,22.195173,4.868324
2017-07-25,20.429697,25.144959,2.695812
2017-07-26,19.585556,26.982731,1.223625
2017-07-27,18.935758,27.741432,0.528999
2017-07-28,18.796933,28.049946,0.810583
2017-07-31,19.192085,27.909256,1.501032
2017-08-01,19.411656,27.827672,1.017067
2017-08-02,19.146067,28.281839,-2.133308
2017-08-03,18.752368,28.430562,-5.821279
2017-08-04,18.784835,28.588216,-7.961824
2017-08-07,19.082517,29.158604,-8.428137
2017-08-08,19.034899,29.516111,-8.598787
2017-08-09,18.557929,29.666048,-8.367482
2017-08-10,17.591507,30.109185,-8.309642
2017-08-11,16.848510,31.033166,-8.233905
2017-08-14,17.166242,31.979042,-7.230112
2017-08-15,17.518272,32.688636,-5.862966
2017-08-16,17.737741,33.622799,-4.971474
2017-08-17,17.533979,33.997594,-4.491242
2017-08-18,16.907920,34.400643,-4.078464
2017-08-21,16.681245,34.981921,-3.972753
2017-08-22,16.523692,35.419826,-3.349137
2017-08-23,16.142280,35.894202,-3.149062
2017-08-24,15.670109,36.509750,-3.117884
2017-08-25,15.564123,36.817838,-2.858599
2017-08-28,15.503477,37.061951,-2.401865
2017-08-29,15.461131,37.586726,-2.028018
2017-08-30,16.165994,37.986876,-1.376161
2017-08-31,17.518323,38.117664,-0.932646
2017-09-01,18.175622,37.962405,-0.940478
2017-09-04,17.982416,37.376648,-0.786038
2017-09-05,17.374878,36.889532,-0.344610
2017-09-06,16.685915,36.777671,0.168237
2017-09-07,16.127729,36.194810,0.666895
2017-09-08,16.133920,34.783863,0.423338
2017-09-11,16.327290,33.676786,-0.550868
2017-09-12,16.426929,32.010372,-1.324303
2017-09-13,16.620668,30.514019,-0.229533
2017-09-14,16.938501,29.852433,1.779859
2017-09-15,17.005757,29.920930,2.891437
2017-09-18,17.289368,30.033464,3.333308
2017-09-19,17.535381,29.917304,3.571717
2017-09-20,17.928279,29.529629,3.039594
2017-09-21,17.383913,29.421714,1.813725
2017-09-22,16.190400,29.731152,0.275316
2017-09-25,14.892650,29.878531,-1.496333
2017-09-26,14.184920,29.935454,-2.054252
2017-09-27,14.172852,29.859511,-1.919034
2017-09-28,14.472447,29.884222,-1.892672
2017-09-29,15.564499,29.981506,-2.131208
2017-10-02,17.141375,30.613023,-2.396911
2017-10-03,19.106762,31.989862,-2.519015
2017-10-04,20.119968,33.469746,-2.353435
2017-10-05,20.408414,34.883490,-1.982829
2017-10-06,20.029802,35.530607,-1.829041
2017-10-09,19.709109,36.164571,-1.490373
2017-10-10,19.516494,37.191148,-1.327385
2017-10-11,19.228466,38.165723,-1.405411
2017-10-12,19.038101,38.749340,-1.974850
2017-10-13,19.452967,38.854043,-2.732137
2017-10-16,20.480158,39.186221,-3.556217
2017-10-17,21.343420,38.404041,-3.745572
2017-10-18,21.611719,37.107018,-3.742410
2017-10-19,21.175660,36.113000,-3.909065
2017-10-20,21.075638,35.565005,-3.684031
2017-10-23,21.372080,35.545975,-2.903568
2017-10-24,21.649963,35.071882,-2.009445
2017-10-25,21.813574,33.639412,-1.315661
2017-10-26,21.705087,30.852759,-1.257998
2017-10-27,21.916127,27.003632,-1.906759
2017-10-30,22.368083,23.594827,-2.834538
2017-10-31,22.538833,21.455546,-3.513230
2017-11-01,23.514942,21.306870,-4.063911
2017-11-02,24.443094,21.814226,-4.926058
2017-11-03,24.943191,22.586939,-6.176256
2017-11-06,25.390589,23.346991,-6.901535
2017-11-07,25.926952,23.012791,-6.976185
2017-11-08,26.045045,22.398510,-6.928979
2017-11-09,25.974493,20.908062,-7.039690
2017-11-10,25.507759,19.122136,-7.611537
2017-11-13,25.198852,17.112135,-8.285136
2017-11-14,24.848593,14.958246,-8.621396
2017-11-15,24.292656,13.919732,-8.688915
2017-11-16,24.224495,14.449487,-8.202264
2017-11-17,24.713996,15.893241,-7.805016
2017-11-20,25.470464,16.849282,-7.451518
2017-11-21,26.653271,17.509277,-6.708232
2017-11-22,27.703837,17.615754,-5.724216
2017-11-23,27.822892,17.260513,-5.098139
2017-11-24,27.394150,17.280944,-4.815812
2017-11-27,26.714799,16.924905,-4.863007
2017-11-28,26.310171,16.227468,-4.152817
2017-11-29,26.215349,15.741335,-2.511432
2017-11-30,26.154967,16.166166,-1.324427
2017-12-01,26.060434,16.556642,-1.028726
2017-12-04,26.059607,15.963817,-1.350248
2017-12-05,25.995919,14.897878,-2.045188
2017-12-06,25.693486,15.330006,-2.479370
2017-12-07,26.201298,16.652600,-2.256382
2017-12-08,27.259953,17.711425,-1.708027
2017-12-11,28.242931,18.651091,-1.326783
2017-12-12,29.056281,19.476473,-1.139087
2017-12-13,29.802547,20.650216,-0.876635
2017-12-14,29.868821,21.730379,-1.170653
2017-12-15,29.448883,22.675280,-1.932935
2017-12-18,29.157347,23.154500,-2.288496
2017-12-19,29.013305,23.696926,-2.215783
2017-12-20,28.679822,24.398245,-2.370591
2017-12-21,28.477045,24.763127,-2.307611
2017-12-22,28.345361,24.462588,-2.261038
2017-12-25,27.812138,24.524263,-1.938565
2017-12-26,27.371353,24.704667,-1.628124
2017-12-27,27.115012,24.801287,-1.518663
2017-12-28,27.085383,24.046236,-0.828758
2017-12-29,27.388495,22.830747,0.907594
2018-01-02,28.348185,21.130542,3.175906
2018-01-03,29.077953,20.183026,5.331767
2018-01-04,29.698839,20.353500,7.918547
2018-01-05,29.757982,20.815315,10.572166
2018-01-08,29.597499,21.234890,12.378826
2018-01-09,29.837754,21.380037,13.006568
2018-01-10,30.350103,21.093147,12.643640
2018-01-11,30.752829,20.158020,12.338089
2018-01-12,31.015367,19.126467,12.863377
2018-01-15,30.996509,18.991492,14.117834
2018-01-16,31.116530,18.938521,15.937866
2018-01-17,31.385514,18.520420,16.364798
2018-01-18,31.807247,18.173368,16.035690
2018-01-19,32.431085,17.457293,15.768967
2018-01-22,33.367651,17.180859,16.180401
2018-01-23,34.472515,17.633699,17.073759
2018-01-24,34.856355,19.403544,17.319313
2018-01-25,34.559540,19.968214,16.814793
2018-01-26,34.462052,19.869133,16.218352
2018-01-29,33.922855,19.154079,14.902152
2018-01-30,33.312202,18.031541,13.301801
2018-01-31,32.986499,16.346083,12.452970
2018-02-01,32.303356,15.571766,11.631992
2018-02-02,31.075778,15.762653,11.034673
2018-02-05,28.611174,16.081945,9.812196
2018-02-06,25.418509,15.672008,6.634789
2018-02-07,23.420052,14.073961,2.869783
2018-02-08,22.157177,12.462508,-0.563380
2018-02-09,20.909230,12.094972,-3.394686
2018-02-12,20.521289,13.865219,-3.668378
2018-02-13,21.690193,16.797827,-2.448646
2018-02-14,23.818394,18.581424,-1.301900
2018-02-15,25.723677,18.915948,-0.635139
2018-02-16,26.738612,18.360060,-0.577353
2018-02-19,27.027269,17.737675,-0.616547
2018-02-20,27.222749,17.860521,-0.340704
2018-02-21,27.768152,18.674218,0.122111
2018-02-22,27.758453,19.910046,0.756500
2018-02-23,27.924330,20.808480,1.129676
2018-02-26,28.126986,21.147056,0.792985
2018-02-27,28.024947,20.568296,0.013815
2018-02-28,27.236656,19.171629,-0.718060
