ym,raw_growth_factor,hf_yoy
2017-07,5.637817,18.693519
2017-08,5.155719,27.276724
2017-09,6.621735,20.787260
2017-10,4.296632,13.421899
2017-11,4.514563,10.684995
2017-12,3.230610,15.874019
2018-01,5.027144,8.478129
2018-02,4.141668,9.966057
2018-03,3.277746,9.128769
2018-04,4.704040,13.918892
2018-05,5.102343,10.468938
2018-06,3.651379,7.927616
2018-07,4.109521,0.153567
2018-08,3.635114,-7.222389
2018-09,2.394708,-3.126842
2018-10,2.886971,-6.631079
2018-11,0.880668,-2.210731
2018-12,-4.762296,-11.049731
2019-01,-1.261471,-3.482930
2019-02,-1.323716,-1.776415
2019-03,1.576529,-1.678045
2019-04,0.423111,-5.864646
2019-05,-0.981598,-16.410768
2019-06,-0.326358,-1.207101
2019-07,-0.889010,-4.786046
2019-08,-1.398004,-5.680083
2019-09,-0.574846,-8.950387
2019-10,-1.164682,-6.112548
2019-11,-2.203699,-4.686683
2019-12,1.870928,1.285176
2020-01,-2.623709,-11.494951
2020-02,-20.484383,-12.950221
2020-03,-3.367119,-21.074335
2020-04,-1.665164,-8.284051
2020-05,-0.153291,-5.895394
2020-06,1.508902,3.340137
2020-07,1.394865,6.579278
2020-08,2.034927,9.221606
2020-09,3.604604,9.840037
2020-10,3.968665,9.231525
2020-11,2.852864,15.128990
2020-12,5.097307,14.797590
2021-01,9.349060,24.930502
2021-02,40.704536,35.889290
2021-03,11.934301,42.594622
2021-04,7.988168,45.828596
2021-05,6.204910,41.981457
2021-06,4.854198,27.934654
2021-07,3.584881,32.789402
2021-08,1.856902,28.161401
2021-09,0.564032,22.509888
2021-10,1.437906,25.198641
2021-11,15.088821,17.617568
2021-12,11.911703,16.490606
2022-01,6.604821,10.903410
2022-02,3.038849,8.489165
2022-03,-2.239862,13.687081
2022-04,-6.601123,-4.327660
2022-05,-1.784460,-1.642698
2022-06,1.400909,-8.065058
2022-07,0.497044,-11.600750
2022-08,1.416876,-11.886641
2022-09,2.007177,-16.892026
2022-10,0.124137,-16.767236
2022-11,-4.851100,-7.866891
2022-12,-4.949911,-8.868128
2023-01,-0.466419,0.122751
2023-02,4.702936,-8.943420
2023-03,5.932973,-10.549982
2023-04,5.579287,-2.735413
2023-05,0.038347,-12.339757
2023-06,-2.860516,8.542202
2023-07,-1.225931,9.480587
2023-08,-0.247527,5.003794
2023-09,-0.025281,8.801226
2023-10,1.188120,1.645233
2023-11,3.162329,1.375179
2023-12,3.121011,0.502962
2024-01,0.455860,1.100560
2024-02,-3.608631,3.831235
2024-03,-1.584906,6.180791
2024-04,2.976354,22.490910
2024-05,2.827736,19.589935
2024-06,1.903129,15.168580
2024-07,1.408315,12.800170
2024-08,0.460106,13.794848
2024-09,0.710680,22.201955
2024-10,2.548071,12.318803
2024-11,2.236681,4.676992
2024-12,3.955791,0.138048
2025-01,1.447587,5.187276
2025-02,2.921187,2.893104
2025-03,1.882563,-1.027261
2025-04,0.203984,-12.357974
2025-05,1.773109,-6.873365
2025-06,1.751443,-3.831047
2025-07,0.977565,1.800294
2025-08,0.871363,1.046302
2025-09,0.977874,-3.166893
2025-10,-1.669804,6.475966
2025-11,-1.718167,11.958412
2025-12,-0.181184,22.823050
2026-01,1.727799,20.045911
2026-02,1.714261,20.893272
2026-03,1.723144,21.053365
2026-04,2.727013,21.350398
2026-05,1.622637,22.393800
2026-06,3.075297,21.642913
