date,hf_yoy_pct,hf_yoy_plot,inflation_factor,diff_plot
2017-08-14,4.7341,0.4734,2.0499,-1.5765
2017-08-21,4.0479,0.4048,2.0499,-1.6451
2017-08-28,3.7494,0.3749,2.0499,-1.6750
2017-09-04,4.6857,0.4686,2.6252,-2.1566
2017-09-11,2.4471,0.2447,2.6252,-2.3805
2017-09-18,2.6310,0.2631,2.6252,-2.3621
2017-09-25,6.0645,0.6064,2.6252,-2.0188
2017-10-02,8.8769,0.8877,2.7886,-1.9009
2017-10-09,11.9518,1.1952,2.7886,-1.5934
2017-10-16,14.8264,1.4826,2.7886,-1.3060
2017-10-23,17.8820,1.7882,2.7886,-1.0004
2017-10-30,17.3947,1.7395,2.7886,-1.0491
2017-11-06,12.2478,1.2248,3.4017,-2.1769
2017-11-13,16.4301,1.6430,3.4017,-1.7587
2017-11-20,16.8439,1.6844,3.4017,-1.7173
2017-11-27,23.5501,2.3550,3.4017,-1.0467
2017-12-04,29.0571,2.9057,3.1927,-0.2870
2017-12-11,29.5465,2.9547,3.1927,-0.2380
2017-12-18,21.9030,2.1903,3.1927,-1.0024
2017-12-25,25.9319,2.5932,3.1927,-0.5995
2018-01-01,21.9114,2.1911,2.8368,-0.6457
2018-01-08,20.2208,2.0221,2.8368,-0.8147
2018-01-15,15.8850,1.5885,2.8368,-1.2483
2018-01-22,13.7963,1.3796,2.8368,-1.4572
2018-01-29,11.2230,1.1223,2.8368,-1.7145
2018-02-05,12.8770,1.2877,2.1902,-0.9025
2018-02-12,15.0807,1.5081,2.1902,-0.6821
2018-02-26,7.5633,0.7563,2.1902,-1.4339
2018-03-05,9.1961,0.9196,3.1399,-2.2203
2018-03-12,3.2139,0.3214,3.1399,-2.8185
2018-03-19,3.3280,0.3328,3.1399,-2.8071
2018-03-26,7.4521,0.7452,3.1399,-2.3947
2018-04-02,6.9814,0.6981,2.3655,-1.6674
2018-04-09,4.9715,0.4972,2.3655,-1.8683
2018-04-16,4.9159,0.4916,2.3655,-1.8739
