date,cpi_index,ppi_index,cpi_yoy,ppi_yoy,cpi_vol,ppi_vol,w_cpi,w_ppi,inflation_factor,cpi_yoy_official,ppi_yoy_official
2008-01-31,107.0781,106.1000,7.0781,6.1000,,,,,,7.0781,6.0700
2008-02-29,108.7443,106.6000,8.7443,6.6000,,,,,,8.7443,6.6200
2008-03-31,108.3097,108.0000,8.3097,8.0000,,,,,,8.3097,7.9500
2008-04-30,108.4829,108.1000,8.4829,8.1000,,,,,,8.4829,8.1200
2008-05-31,107.7163,108.2000,7.7163,8.2000,,,,,,7.7163,8.2200
2008-06-30,107.0844,108.8000,7.0844,8.8000,,,,,,7.0844,8.8400
2008-07-31,106.3020,110.0000,6.3020,10.0000,,,,,,6.3020,10.0300
2008-08-31,104.9001,110.1000,4.9001,10.1000,,,,,,4.9001,10.0600
2008-09-30,104.6425,109.1000,4.6425,9.1000,,,,,,4.6425,9.1300
2008-10-31,103.9744,106.6000,3.9744,6.6000,,,,,,3.9744,6.5900
2008-11-30,102.4340,102.0000,2.4340,2.0000,,,,,,2.4340,1.9900
2008-12-31,101.1999,98.9000,1.1999,-1.1000,2.4719,3.3230,0.5734,0.4266,0.2188,1.1999,-1.1400
2009-01-31,100.9500,96.7000,0.9500,-3.3000,2.8166,4.4418,0.6120,0.3880,-0.6992,0.9500,-3.3500
2009-02-28,98.4418,95.5000,-1.5582,-4.5000,3.2411,5.3825,0.6242,0.3758,-2.6638,-1.5582,-4.4700
2009-03-31,98.8286,94.0000,-1.1714,-6.0000,3.3899,6.1719,0.6455,0.3545,-2.8832,-1.1714,-5.9900
2009-04-30,98.5000,93.4000,-1.5000,-6.6000,3.3465,6.7188,0.6675,0.3325,-3.1956,-1.5000,-6.6000
2009-05-31,98.6287,92.8000,-1.3713,-7.2000,3.1855,7.0509,0.6888,0.3112,-3.1851,-1.3713,-7.2000
2009-06-30,98.3000,92.2000,-1.7000,-7.8000,2.9509,7.1148,0.7068,0.2932,-3.4883,-1.7000,-7.8000
2009-07-31,98.1943,91.8000,-1.8057,-8.2000,2.6452,6.7448,0.7183,0.2817,-3.6070,-1.8057,-8.2200
2009-08-31,98.7957,92.1000,-1.2043,-7.9000,2.3443,5.9015,0.7157,0.2843,-3.1079,-1.2043,-7.8600
2009-09-30,99.2117,93.0000,-0.7883,-7.0000,1.8992,4.6127,0.7083,0.2917,-2.6000,-0.7883,-6.9900
2009-10-31,99.4700,94.2000,-0.5300,-5.8000,1.3673,3.1030,0.6941,0.3059,-2.1419,-0.5300,-5.8500
2009-11-30,100.5600,97.9000,0.5600,-2.1000,1.0643,2.3665,0.6898,0.3102,-0.2652,0.5600,-2.0800
2009-12-31,101.8559,101.7000,1.8559,1.7000,1.1834,2.9253,0.7120,0.2880,1.8110,1.8559,1.7000
2010-01-31,101.5300,104.3000,1.5300,4.3000,1.2654,4.0325,0.7612,0.2388,2.1916,1.5300,4.3200
2010-02-28,102.6953,105.4000,2.6953,5.4000,1.5489,4.9893,0.7631,0.2369,3.3360,2.6953,5.3900
2010-03-31,102.3707,105.9000,2.3707,5.9000,1.6954,5.6765,0.7700,0.2300,3.1824,2.3707,5.9100
2010-04-30,102.8136,106.8000,2.8136,6.8000,1.8003,6.1865,0.7746,0.2254,3.7122,2.8136,6.8100
2010-05-31,103.0613,107.1000,3.0613,7.1000,1.8644,6.4295,0.7752,0.2248,3.9692,3.0613,7.1300
2010-06-30,102.9499,106.4000,2.9499,6.4000,1.7934,6.2960,0.7783,0.2217,3.7148,2.9499,6.4100
2010-07-31,103.3042,104.8000,3.3042,4.8000,1.6337,5.7481,0.7787,0.2213,3.6352,3.3042,4.8400
2010-08-31,103.4794,104.3000,3.4794,4.3000,1.4663,4.9292,0.7707,0.2293,3.6675,3.4794,4.3200
2010-09-30,103.6056,104.3000,3.6056,4.3000,1.2561,3.8874,0.7558,0.2442,3.7752,3.6056,4.3300
2010-10-31,104.3655,105.0000,4.3655,5.0000,1.0242,2.5278,0.7117,0.2883,4.5485,4.3655,5.0400
2010-11-30,105.1192,106.1000,5.1192,6.1000,0.9970,1.4716,0.5961,0.4039,5.5153,5.1192,6.0600
2010-12-31,104.5859,105.9000,4.5859,5.9000,0.9998,0.9910,0.4978,0.5022,5.2459,4.5859,5.9300
2011-01-31,104.9121,106.6000,4.9121,6.6000,0.9220,0.9543,0.5086,0.4914,5.7415,4.9121,6.6436
2011-02-28,104.9443,107.2000,4.9443,7.2000,0.9484,1.0378,0.5225,0.4775,6.0214,4.9443,7.2322
2011-03-31,105.3830,107.3000,5.3830,7.3000,0.9364,1.1175,0.5441,0.4559,6.2570,5.3830,7.3081
2011-04-30,105.3442,106.8000,5.3442,6.8000,0.9190,1.1175,0.5487,0.4513,6.0011,5.3442,6.8210
2011-05-31,105.5146,106.8000,5.5146,6.8000,0.9021,1.0933,0.5479,0.4521,6.0957,5.5146,6.7851
2011-06-30,106.3553,107.1000,6.3553,7.1000,0.9197,1.1368,0.5528,0.4472,6.6883,6.3553,7.1209
2011-07-31,106.4508,107.5000,6.4508,7.5000,0.9208,1.1413,0.5535,0.4465,6.9193,6.4508,7.5417
2011-08-31,106.1514,107.3000,6.1514,7.3000,0.8377,0.9968,0.5434,0.4566,6.6759,6.1514,7.2528
2011-09-30,106.0671,106.5000,6.0671,6.5000,0.6933,0.7213,0.5099,0.4901,6.2793,6.0671,6.5227
2011-10-31,105.4954,105.0000,5.4954,5.0000,0.6065,0.7213,0.5432,0.4568,5.2691,5.4954,5.0038
2011-11-30,104.2246,102.7000,4.2246,2.7000,0.7077,1.3561,0.6571,0.3429,3.7018,4.2246,2.7179
2011-12-31,104.0704,101.7000,4.0704,1.7000,0.7773,1.9195,0.7118,0.2882,3.3872,4.0704,1.6854
2012-01-31,104.5485,100.7000,4.5485,0.7000,0.8050,2.4467,0.7524,0.2476,3.5957,4.5485,0.7347
2012-02-29,103.1613,100.0000,3.1613,0.0000,1.0266,2.8542,0.7355,0.2645,2.3250,3.1613,0.0284
2012-03-31,103.5856,99.7000,3.5856,-0.3000,1.1284,3.1165,0.7342,0.2658,2.5527,3.5856,-0.3171
2012-04-30,103.3653,99.3000,3.3653,-0.7000,1.2268,3.3187,0.7301,0.2699,2.2681,3.3653,-0.6984
2012-05-31,103.0008,98.6000,3.0008,-1.4000,1.3258,3.4616,0.7231,0.2769,1.7820,3.0008,-1.3981
2012-06-30,102.1504,97.9000,2.1504,-2.1000,1.4038,3.4917,0.7132,0.2868,0.9316,2.1504,-2.0843
2012-07-31,101.8000,97.1000,1.8000,-2.9000,1.4148,3.3559,0.7034,0.2966,0.4061,1.8000,-2.8651
2012-08-31,102.0000,96.5000,2.0000,-3.5000,1.3380,3.0574,0.6956,0.3044,0.3258,2.0000,-3.4784
2012-09-30,101.9000,96.4000,1.9000,-3.6000,1.1769,2.6047,0.6888,0.3112,0.1883,1.9000,-3.5545
2012-10-31,101.7000,97.2000,1.7000,-2.8000,1.0263,2.0599,0.6674,0.3326,0.2035,1.7000,-2.7558
2012-11-30,102.0000,97.8000,2.0000,-2.2000,0.9767,1.7126,0.6368,0.3632,0.4747,2.0000,-2.1995
2012-12-31,102.5000,98.0603,2.5000,-1.9397,0.8883,1.4032,0.6123,0.3877,0.7789,2.5000,-1.9397
2013-01-31,102.0000,98.3628,2.0000,-1.6372,0.6687,1.1799,0.6383,0.3617,0.6843,2.0000,-1.6372
2013-02-28,103.2000,98.3746,3.2000,-1.6254,0.6727,1.0218,0.6030,0.3970,1.2844,3.2000,-1.6254
2013-03-31,102.1000,98.0810,2.1000,-1.9190,0.5703,0.8630,0.6021,0.3979,0.5010,2.1000,-1.9190
2013-04-30,102.4000,97.3825,2.4000,-2.6175,0.4665,0.7284,0.6096,0.3904,0.4412,2.4000,-2.6175
2013-05-31,102.0981,97.1342,2.0981,-2.8658,0.3986,0.6750,0.6287,0.3713,0.2551,2.0981,-2.8658
2013-06-30,102.7000,97.3035,2.7000,-2.6965,0.4286,0.6667,0.6087,0.3913,0.5884,2.7000,-2.6965
2013-07-31,102.7000,97.7288,2.7000,-2.2712,0.4310,0.6592,0.6047,0.3953,0.7348,2.7000,-2.2712
2013-08-31,102.6000,98.3750,2.6000,-1.6250,0.4310,0.6143,0.5877,0.4123,0.8579,2.6000,-1.6250
2013-09-30,103.1000,98.6561,3.1000,-1.3439,0.4616,0.5244,0.5318,0.4682,1.0196,3.1000,-1.3439
2013-10-31,103.2000,98.4929,3.2000,-1.5071,0.4504,0.5064,0.5292,0.4708,0.9841,3.2000,-1.5071
2013-11-30,103.0000,98.5758,3.0000,-1.4242,0.4316,0.5304,0.5514,0.4486,1.0151,3.0000,-1.4242
2013-12-31,102.4987,98.6443,2.4987,-1.3557,0.4316,0.5581,0.5639,0.4361,0.8178,2.4987,-1.3557
2014-01-31,102.5000,98.4000,2.5000,-1.6000,0.3867,0.5598,0.5914,0.4086,0.8249,2.5000,-1.6394
2014-02-28,102.0000,98.0000,2.0000,-2.0000,0.3936,0.5532,0.5843,0.4157,0.3371,2.0000,-2.0182
2014-03-31,102.4000,97.7000,2.4000,-2.3000,0.3695,0.5631,0.6038,0.3962,0.5376,2.4000,-2.3022
2014-04-30,101.8014,98.0000,1.8014,-2.0000,0.4338,0.5252,0.5477,0.4523,0.0818,1.8014,-2.0042
2014-05-31,102.5000,98.6000,2.5000,-1.4000,0.4106,0.4491,0.5224,0.4776,0.6372,2.5000,-1.4464
2014-06-30,102.3000,98.9000,2.3000,-1.1000,0.4165,0.3899,0.4835,0.5165,0.5439,2.3000,-1.1086
2014-07-31,102.3000,99.1000,2.3000,-0.9000,0.4194,0.3955,0.4854,0.5146,0.6532,2.3000,-0.8688
2014-08-31,102.0000,98.8000,2.0000,-1.2000,0.4436,0.4067,0.4783,0.5217,0.3306,2.0000,-1.2038
2014-09-30,101.6000,98.2000,1.6000,-1.8000,0.4600,0.4110,0.4719,0.5281,-0.1956,1.6000,-1.7996
2014-10-31,101.6011,97.8000,1.6011,-2.2000,0.4184,0.4513,0.5189,0.4811,-0.2277,1.6011,-2.2428
2014-11-30,101.4000,97.3000,1.4000,-2.7000,0.3977,0.5449,0.5781,0.4219,-0.3297,1.4000,-2.6928
2014-12-31,101.5000,96.7000,1.5000,-3.3000,0.4054,0.6969,0.6322,0.3678,-0.2653,1.5000,-3.3152
2015-01-31,100.8000,95.7000,0.8000,-4.3000,0.4981,0.9789,0.6627,0.3373,-0.9200,0.8000,-4.3202
2015-02-28,101.4000,95.2000,1.4000,-4.8000,0.5116,1.2492,0.7094,0.2906,-0.4015,1.4000,-4.7976
2015-03-31,101.4000,95.4000,1.4000,-4.6000,0.4859,1.4098,0.7437,0.2563,-0.1378,1.4000,-4.5603
2015-04-30,101.5000,95.4000,1.5000,-4.6000,0.4889,1.5174,0.7563,0.2437,0.0136,1.5000,-4.5725
2015-05-31,101.2000,95.4000,1.2000,-4.6000,0.4345,1.5412,0.7801,0.2199,-0.0755,1.2000,-4.6070
2015-06-30,101.4000,95.2000,1.4000,-4.8000,0.3729,1.4941,0.8003,0.1997,0.1618,1.4000,-4.8135
2015-07-31,101.6000,94.6000,1.6000,-5.4000,0.2813,1.3938,0.8321,0.1679,0.4245,1.6000,-5.3692
2015-08-31,102.0000,94.1000,2.0000,-5.9000,0.2813,1.2862,0.8205,0.1795,0.5823,2.0000,-5.9227
2015-09-30,101.5956,94.1000,1.5956,-5.9000,0.2811,1.1632,0.8054,0.1946,0.1368,1.5956,-5.9450
2015-10-31,101.3000,94.1000,1.3000,-5.9000,0.2798,0.9985,0.7811,0.2189,-0.2759,1.3000,-5.9000
2015-11-30,101.5000,94.1000,1.5000,-5.9000,0.2805,0.8169,0.7444,0.2556,-0.3913,1.5000,-5.9000
2015-12-31,101.6000,94.1000,1.6000,-5.9000,0.2841,0.6534,0.6970,0.3030,-0.6727,1.6000,-5.9000
2016-01-31,101.8000,94.7000,1.8000,-5.3000,0.2178,0.5862,0.7291,0.2709,-0.1234,1.8000,-5.3000
2016-02-29,102.3000,95.1000,2.3000,-4.9000,0.3075,0.5791,0.6532,0.3468,-0.1970,2.3000,-4.9000
2016-03-31,102.3000,95.7000,2.3000,-4.3000,0.3597,0.6177,0.6320,0.3680,-0.1290,2.3000,-4.3000
2016-04-30,102.3000,96.6000,2.3000,-3.4000,0.3966,0.8066,0.6704,0.3296,0.4211,2.3000,-3.4000
2016-05-31,102.0000,97.2000,2.0000,-2.8000,0.3632,1.0543,0.7438,0.2562,0.7701,2.0000,-2.8000
2016-06-30,101.9000,97.4000,1.9000,-2.6000,0.3401,1.2681,0.7885,0.2115,0.9484,1.9000,-2.6000
2016-07-31,101.8000,98.3000,1.8000,-1.7000,0.3315,1.5424,0.8231,0.1769,1.1808,1.8000,-1.7000
2016-08-31,101.3000,99.2000,1.3000,-0.8000,0.3657,1.8130,0.8322,0.1678,0.9475,1.3000,-0.8000
2016-09-30,101.9000,100.1000,1.9000,0.1000,0.3601,2.0836,0.8526,0.1474,1.6347,1.9000,0.1000
2016-10-31,102.1000,101.2000,2.1000,1.2000,0.3247,2.3653,0.8793,0.1207,1.9914,2.1000,1.2000
2016-11-30,102.3000,103.3000,2.3000,3.3000,0.3172,2.7998,0.8982,0.1018,2.4018,2.3000,3.3000
2016-12-31,102.1000,105.5000,2.1000,5.5000,0.2968,3.3348,0.9183,0.0817,2.3779,2.1000,5.5000
2017-01-31,102.5000,106.9000,2.5000,6.9000,0.3200,3.8301,0.9229,0.0771,2.8393,2.5000,6.9000
2017-02-28,100.8000,107.8000,0.8000,7.8000,0.4757,4.1797,0.8978,0.1022,1.5153,0.8000,7.8000
2017-03-31,100.9000,107.6000,0.9000,7.6000,0.5463,4.2788,0.8868,0.1132,1.6585,0.9000,7.6000
2017-04-30,101.2000,106.4000,1.2000,6.4000,0.5516,4.1377,0.8824,0.1176,1.8117,1.2000,6.4000
2017-05-31,101.5000,105.5000,1.5000,5.5000,0.5485,3.8405,0.8750,0.1250,1.9999,1.5000,5.5000
2017-06-30,101.5000,105.5000,1.5000,5.5000,0.5468,3.4025,0.8615,0.1385,2.0538,1.5000,5.5000
2017-07-31,101.4000,105.5000,1.4000,5.5000,0.5496,2.9175,0.8415,0.1585,2.0499,1.4000,5.5000
2017-08-31,101.8000,106.3000,1.8000,6.3000,0.5416,2.4118,0.8166,0.1834,2.6252,1.8000,6.3000
2017-09-30,101.6000,106.9000,1.6000,6.9000,0.5368,1.8567,0.7757,0.2243,2.7886,1.6000,6.9000
2017-10-31,101.9000,106.9000,1.9000,6.9000,0.5242,1.2211,0.6997,0.3003,3.4017,1.9000,6.9000
2017-11-30,101.7000,105.8000,1.7000,5.8000,0.4808,0.8397,0.6359,0.3641,3.1927,1.7000,5.8000
2017-12-31,101.8000,104.9000,1.8000,4.9000,0.4583,0.9119,0.6655,0.3345,2.8368,1.8000,4.9000
2018-01-31,101.5000,104.3000,1.5000,4.3000,0.3473,1.0616,0.7535,0.2465,2.1902,1.5000,4.3000
2018-02-28,102.9000,103.7000,2.9000,3.7000,0.4833,1.1283,0.7001,0.2999,3.1399,2.9000,3.7000
2018-03-31,102.1000,103.1000,2.1000,3.1000,0.4379,1.2113,0.7345,0.2655,2.3655,2.1000,3.1000
2018-04-30,101.8000,103.4000,1.8000,3.4000,0.4033,1.2930,0.7622,0.2378,2.1804,1.8000,3.4000
2018-05-31,101.8000,104.1000,1.8000,4.1000,0.3927,1.3214,0.7709,0.2291,2.3270,1.8000,4.1000
2018-06-30,101.9000,104.7000,1.9000,4.7000,0.3802,1.3159,0.7758,0.2242,2.5277,1.9000,4.7000
