日期,index_net
2015-01-04,115.3005
2015-01-05,115.3054
2015-01-06,115.2657
2015-01-07,115.3059
2015-01-08,115.3184
2015-01-09,115.3027
2015-01-12,115.3287
2015-01-13,115.6525
2015-01-14,115.9273
2015-01-15,115.9037
2015-01-16,116.1997
2015-01-19,116.3295
2015-01-20,116.3821
2015-01-21,116.4336
2015-01-22,116.5419
2015-01-23,116.5735
2015-01-26,116.7258
2015-01-27,116.7189
2015-01-28,116.53
2015-01-29,116.3887
2015-01-30,116.339
2015-02-02,116.4919
2015-02-03,116.6076
2015-02-04,116.6205
2015-02-05,116.9296
2015-02-06,116.7766
2015-02-09,116.8565
2015-02-10,116.8714
2015-02-11,117.1081
2015-02-12,117.1989
2015-02-13,117.3137
2015-02-15,117.3766
2015-02-16,117.5128
2015-02-17,117.5035
2015-02-25,117.5257
2015-02-26,117.4406
2015-02-27,117.3196
2015-02-28,117.3777
2015-03-02,117.1794
2015-03-03,117.0768
2015-03-04,117.0742
2015-03-05,116.7448
2015-03-06,116.5447
2015-03-09,116.3504
2015-03-10,116.2796
2015-03-11,116.7082
2015-03-12,116.7738
2015-03-13,116.5103
2015-03-16,116.2453
2015-03-17,116.1712
2015-03-18,116.1108
2015-03-19,116.0677
2015-03-20,116.2099
2015-03-23,116.1804
2015-03-24,116.1148
2015-03-25,116.0625
2015-03-26,115.6906
2015-03-27,115.567
2015-03-30,115.3667
2015-03-31,115.0489
2015-04-01,115.3284
2015-04-02,115.6529
2015-04-03,115.5046
2015-04-07,115.3614
2015-04-08,114.8035
2015-04-09,114.7651
2015-04-10,114.8309
2015-04-13,114.9158
2015-04-14,115.1468
2015-04-15,115.3245
2015-04-16,115.4704
2015-04-17,115.4721
2015-04-20,116.2161
2015-04-21,116.4602
2015-04-22,116.4104
2015-04-23,116.313
2015-04-24,116.047
2015-04-27,116.1867
2015-04-28,116.3126
2015-04-29,116.2917
2015-04-30,116.5018
2015-05-04,116.4099
2015-05-05,116.3154
2015-05-06,116.0389
2015-05-07,116.0648
2015-05-08,116.4085
2015-05-11,116.4107
2015-05-12,116.4665
2015-05-13,116.6476
2015-05-14,116.8925
2015-05-15,116.9368
2015-05-18,116.8762
2015-05-19,116.7598
2015-05-20,116.7418
2015-05-21,116.7704
2015-05-22,116.8654
2015-05-25,116.9535
2015-05-26,116.7028
2015-05-27,116.7284
2015-05-28,116.4241
2015-05-29,116.3858
2015-06-01,116.1372
2015-06-02,116.3079
2015-06-03,116.3725
2015-06-04,116.4892
2015-06-05,116.5595
2015-06-08,116.6088
2015-06-09,116.6834
2015-06-10,116.5446
2015-06-11,116.3671
2015-06-12,116.3739
2015-06-15,116.1305
2015-06-16,116.3613
2015-06-17,116.3984
2015-06-18,116.6238
2015-06-19,116.6411
2015-06-23,116.5316
2015-06-24,116.4861
2015-06-25,116.4978
2015-06-26,116.4822
2015-06-29,116.4892
2015-06-30,116.5092
2015-07-01,116.4554
2015-07-02,116.4206
2015-07-03,116.569
2015-07-06,117.0685
2015-07-07,117.3058
2015-07-08,117.2131
2015-07-09,117.2594
2015-07-10,116.9547
2015-07-13,116.9531
2015-07-14,116.8345
2015-07-15,116.8143
2015-07-16,116.8947
2015-07-17,116.997
2015-07-20,116.9916
2015-07-21,116.9081
2015-07-22,116.9134
2015-07-23,117.0361
2015-07-24,117.1994
2015-07-27,117.2079
2015-07-28,117.2798
2015-07-29,117.3554
2015-07-30,117.3064
2015-07-31,117.0602
2015-08-03,117.005
2015-08-04,117.0042
2015-08-05,116.9572
2015-08-06,117.0337
2015-08-07,117.1159
2015-08-10,117.0438
2015-08-11,116.7852
2015-08-12,116.6637
2015-08-13,116.7681
2015-08-14,116.8263
2015-08-17,116.7822
2015-08-18,116.7747
2015-08-19,116.7352
2015-08-20,116.7054
2015-08-21,116.7814
2015-08-24,116.8833
2015-08-25,116.983
2015-08-26,117.0881
2015-08-27,117.3878
2015-08-28,117.4902
2015-08-31,117.7956
2015-09-01,117.8687
2015-09-02,117.8543
2015-09-06,117.783
2015-09-07,117.6075
2015-09-08,117.5911
2015-09-09,117.607
2015-09-10,117.6025
2015-09-11,117.6435
2015-09-14,117.6711
2015-09-15,117.7869
2015-09-16,117.7367
2015-09-17,117.7326
2015-09-18,117.7896
2015-09-21,117.6807
2015-09-22,117.5869
2015-09-23,117.5261
2015-09-24,117.5541
2015-09-25,117.56
2015-09-28,117.6951
2015-09-29,117.7585
2015-09-30,117.8516
2015-10-08,117.8756
2015-10-09,118.3064
2015-10-10,118.3549
2015-10-12,118.2275
2015-10-13,118.3503
2015-10-14,118.7918
2015-10-15,118.6661
2015-10-16,118.3669
2015-10-19,118.494
2015-10-20,118.8042
2015-10-21,118.8113
2015-10-22,118.838
2015-10-23,118.8236
2015-10-26,119.0309
2015-10-27,119.321
2015-10-28,119.2754
2015-10-29,119.0288
2015-10-30,118.9288
2015-11-02,118.9657
2015-11-03,118.7758
2015-11-04,118.4646
2015-11-05,118.4724
2015-11-06,118.5275
2015-11-09,117.8963
2015-11-10,117.9839
2015-11-11,118.2748
2015-11-12,118.2607
2015-11-13,118.3338
2015-11-16,118.2955
2015-11-17,118.3151
2015-11-18,118.203
2015-11-19,118.151
2015-11-20,118.2174
2015-11-23,118.2197
2015-11-24,118.3732
2015-11-25,118.4851
2015-11-26,118.5557
2015-11-27,118.5565
2015-11-30,118.6975
2015-12-01,118.6877
2015-12-02,118.6804
2015-12-03,118.8116
2015-12-04,118.8807
2015-12-07,118.851
2015-12-08,118.9722
2015-12-09,119.0181
2015-12-10,119.0137
2015-12-11,119.0985
2015-12-14,118.8573
2015-12-15,118.9232
2015-12-16,119.0463
2015-12-17,119.1572
2015-12-18,119.4239
2015-12-21,119.7967
2015-12-22,119.9658
2015-12-23,120.0178
2015-12-24,120.296
2015-12-25,120.2628
2015-12-28,120.3462
2015-12-29,120.2904
2015-12-30,120.2732
2015-12-31,120.2874
2016-01-04,120.0715
2016-01-05,119.8666
2016-01-06,119.975
2016-01-07,120.164
2016-01-08,120.3022
2016-01-11,120.42
2016-01-12,120.6713
2016-01-13,121.1325
2016-01-14,120.966
2016-01-15,121.0006
2016-01-18,120.8087
2016-01-19,120.6188
2016-01-20,120.4777
2016-01-21,120.59
2016-01-22,120.7054
2016-01-25,120.2266
2016-01-26,120.1911
2016-01-27,119.9465
2016-01-28,119.9921
2016-01-29,120.2434
2016-02-01,120.3165
2016-02-02,120.0779
2016-02-03,119.9999
2016-02-04,120.2269
2016-02-05,120.231
2016-02-06,120.2212
2016-02-14,120.4827
2016-02-15,120.3545
2016-02-16,120.3172
2016-02-17,120.3505
2016-02-18,120.3743
2016-02-19,120.4351
2016-02-22,120.4119
2016-02-23,120.4232
2016-02-24,120.3465
2016-02-25,120.229
2016-02-26,120.2976
2016-02-29,120.3439
2016-03-01,120.4847
2016-03-02,120.5114
2016-03-03,120.4927
2016-03-04,120.538
2016-03-07,120.3215
2016-03-08,120.3014
2016-03-09,120.5051
2016-03-10,120.671
2016-03-11,120.6928
2016-03-14,120.7309
2016-03-15,120.8123
2016-03-16,121.0314
2016-03-17,121.0815
2016-03-18,121.1136
2016-03-21,121.1406
2016-03-22,121.1354
2016-03-23,121.188
2016-03-24,121.2228
2016-03-25,121.3384
2016-03-28,121.3052
2016-03-29,121.3337
2016-03-30,121.4178
2016-03-31,121.469
2016-04-01,121.4471
2016-04-05,121.3537
2016-04-06,121.3077
2016-04-07,121.1533
2016-04-08,121.12
2016-04-11,121.0778
2016-04-12,121.0781
2016-04-13,120.8769
2016-04-14,120.7954
2016-04-15,120.8425
2016-04-18,120.9065
2016-04-19,120.8803
2016-04-20,120.647
2016-04-21,120.5758
2016-04-22,120.2569
2016-04-25,119.8327
2016-04-26,119.9226
2016-04-27,120.0208
2016-04-28,120.1177
2016-04-29,120.1078
2016-05-03,120.1267
2016-05-04,120.0387
2016-05-05,120.0104
2016-05-06,120.0051
2016-05-09,120.131
2016-05-10,120.1186
2016-05-11,120.1258
2016-05-12,120.1886
2016-05-13,120.1861
2016-05-16,120.0583
2016-05-17,120.0199
2016-05-18,119.8978
2016-05-19,119.8392
2016-05-20,119.8177
2016-05-23,119.7597
2016-05-24,119.8293
2016-05-25,119.8094
2016-05-26,119.7836
2016-05-27,119.7474
2016-05-30,119.6756
2016-05-31,119.6422
2016-06-01,119.595
2016-06-02,119.5247
2016-06-03,119.491
2016-06-06,119.5671
2016-06-07,119.5595
2016-06-08,119.5312
2016-06-12,119.5211
2016-06-13,119.5571
2016-06-14,119.7214
2016-06-15,119.78
2016-06-16,119.8837
2016-06-17,119.9074
2016-06-20,119.8903
2016-06-21,119.8745
2016-06-22,119.9599
2016-06-23,119.9362
2016-06-24,119.8851
2016-06-27,120.0139
2016-06-28,120.0167
