date,rate_factor,macro_fitted,neg_log_bond_index,residual
2015-01-31,3.501900,3.401220,-4.756508,0.100680
2015-02-28,3.360200,3.275912,-4.765397,0.084288
2015-03-31,3.648300,3.558424,-4.745357,0.089876
2015-04-30,3.350300,3.381506,-4.757907,-0.031206
2015-05-31,3.595400,3.395550,-4.756911,0.199850
2015-06-30,3.597600,3.380611,-4.757970,0.216989
2015-07-31,3.475200,3.314097,-4.762688,0.161103
2015-08-31,3.325200,3.225809,-4.768951,0.099391
2015-09-30,3.236200,3.219109,-4.769426,0.017091
2015-10-31,3.060000,3.090837,-4.778525,-0.030837
2015-11-30,3.040400,3.118282,-4.776578,-0.077882
2015-12-31,2.821200,2.930703,-4.789884,-0.109503
2016-01-31,2.841900,2.935861,-4.789518,-0.093961
2016-02-29,2.850200,2.924083,-4.790353,-0.073883
2016-03-31,2.841900,2.792896,-4.799659,0.049004
2016-04-30,2.891300,2.951768,-4.788390,-0.060468
2016-05-31,2.985100,3.006524,-4.784506,-0.021424
2016-06-30,2.841100,2.960551,-4.787767,-0.119451
2016-07-31,2.776800,2.849099,-4.795672,-0.072299
2016-08-31,2.742500,2.814720,-4.798111,-0.072220
2016-09-30,2.725800,2.767328,-4.801473,-0.041528
2016-10-31,2.742500,2.721387,-4.804731,0.021113
2016-11-30,2.950200,2.938523,-4.789329,0.011677
2016-12-31,3.011500,3.115847,-4.776751,-0.104347
2017-01-31,3.346500,3.288577,-4.764499,0.057923
2017-02-28,3.292100,3.307354,-4.763167,-0.015254
2017-03-31,3.282800,3.326483,-4.761810,-0.043683
2017-04-30,3.466800,3.485155,-4.750555,-0.018355
2017-05-31,3.610200,3.636660,-4.739808,-0.026460
2017-06-30,3.568300,3.587938,-4.743264,-0.019638
2017-07-31,3.626000,3.656204,-4.738421,-0.030204
2017-08-31,3.626500,3.724107,-4.733605,-0.097607
2017-09-30,3.613600,3.710550,-4.734566,-0.096950
2017-10-31,3.891700,3.875008,-4.722901,0.016692
2017-11-30,3.890100,3.863258,-4.723734,0.026842
2017-12-31,3.880700,3.874808,-4.722915,0.005892
2018-01-31,3.914000,3.860466,-4.723932,0.053534
2018-02-28,3.820200,3.764858,-4.730714,0.055342
2018-03-31,3.740700,3.707924,-4.734753,0.032776
2018-04-30,3.621700,3.543948,-4.746384,0.077752
2018-05-31,3.612900,3.551197,-4.745870,0.061703
2018-06-30,3.475600,3.469122,-4.751692,0.006478
2018-07-31,3.481200,3.424955,-4.754825,0.056245
2018-08-31,3.575100,3.550535,-4.745917,0.024565
2018-09-30,3.610300,3.570193,-4.744522,0.040107
2018-10-31,3.508600,3.458411,-4.752452,0.050189
2018-11-30,3.355000,3.306488,-4.763228,0.048512
2018-12-31,3.226500,3.162855,-4.773416,0.063645
2019-01-31,3.103700,3.107810,-4.777321,-0.004110
2019-02-28,3.173100,3.165000,-4.773264,0.008100
2019-03-31,3.068300,3.105591,-4.777478,-0.037291
2019-04-30,3.386900,3.368020,-4.758863,0.018880
2019-05-31,3.275100,3.301469,-4.763584,-0.026369
2019-06-30,3.225400,3.255809,-4.766823,-0.030409
2019-07-31,3.155200,3.202264,-4.770621,-0.047064
2019-08-31,3.057300,3.105603,-4.777478,-0.048303
2019-09-30,3.141100,3.172414,-4.772738,-0.031314
2019-10-31,3.288000,3.283060,-4.764890,0.004940
2019-11-30,3.165000,3.173845,-4.772637,-0.008845
2019-12-31,3.136500,3.099030,-4.777944,0.037470
2020-01-31,2.993200,2.985142,-4.786022,0.008058
2020-02-29,2.737600,2.797922,-4.799303,-0.060322
2020-03-31,2.589900,2.672293,-4.808214,-0.082393
2020-04-30,2.538000,2.532658,-4.818119,0.005342
2020-05-31,2.705300,2.780181,-4.800561,-0.074881
2020-06-30,2.823000,2.943296,-4.788991,-0.120296
2020-07-31,2.966400,3.075057,-4.779644,-0.108657
2020-08-31,3.017700,3.169672,-4.772933,-0.151972
2020-09-30,3.148200,3.262191,-4.766370,-0.113991
2020-10-31,3.181000,3.273342,-4.765579,-0.092342
2020-11-30,3.250000,3.304598,-4.763362,-0.054598
2020-12-31,3.142900,3.189867,-4.771500,-0.046967
2021-01-31,3.178600,3.212770,-4.769876,-0.034170
2021-02-28,3.279800,3.269176,-4.765875,0.010624
2021-03-31,3.188700,3.189426,-4.771532,-0.000726
2021-04-30,3.164000,3.135442,-4.775361,0.028558
2021-05-31,3.045000,3.069587,-4.780032,-0.024587
2021-06-30,3.077800,3.111953,-4.777027,-0.034153
2021-07-31,2.836300,2.901118,-4.791982,-0.064818
2021-08-31,2.845000,2.899060,-4.792128,-0.054060
2021-09-30,2.877600,2.912268,-4.791192,-0.034668
2021-10-31,2.973200,2.991826,-4.785548,-0.018626
2021-11-30,2.825000,2.889614,-4.792798,-0.064614
2021-12-31,2.775400,2.833855,-4.796754,-0.058455
2022-01-31,2.699700,2.734199,-4.803823,-0.034499
2022-02-28,2.775000,2.823313,-4.797501,-0.048313
2022-03-31,2.787800,2.851232,-4.795521,-0.063432
2022-04-30,2.838600,2.831585,-4.796915,0.007015
2022-05-31,2.742600,2.779335,-4.800621,-0.036735
2022-06-30,2.820500,2.830794,-4.796971,-0.010294
2022-07-31,2.756000,2.752241,-4.802543,0.003759
2022-08-31,2.622500,2.627475,-4.811393,-0.004975
2022-09-30,2.760100,2.711956,-4.805400,0.048144
2022-10-31,2.643300,2.617282,-4.812116,0.026018
2022-11-30,2.885000,2.831120,-4.796948,0.053880
2022-12-31,2.835300,2.785412,-4.800190,0.049888
2023-01-31,2.897700,2.828490,-4.797134,0.069210
2023-02-28,2.901700,2.846082,-4.795886,0.055618
2023-03-31,2.852800,2.795217,-4.799494,0.057583
2023-04-30,2.778800,2.725372,-4.804449,0.053428
2023-05-31,2.685000,2.661021,-4.809013,0.023979
2023-06-30,2.635100,2.613992,-4.812349,0.021108
2023-07-31,2.659700,2.585898,-4.814342,0.073802
2023-08-31,2.557500,2.505703,-4.820031,0.051797
2023-09-30,2.675100,2.626925,-4.811432,0.048175
2023-10-31,2.693800,2.640523,-4.810467,0.053277
2023-11-30,2.668000,2.621993,-4.811782,0.046007
2023-12-31,2.555300,2.499666,-4.820459,0.055634
2024-01-31,2.433000,2.345859,-4.831369,0.087141
2024-02-29,2.337500,2.248622,-4.838266,0.088878
2024-03-31,2.290100,2.256687,-4.837694,0.033413
2024-04-30,2.302800,2.245373,-4.838497,0.057427
2024-05-31,2.292600,2.218104,-4.840431,0.074496
2024-06-30,2.205800,2.088383,-4.849633,0.117417
2024-07-31,2.149400,1.999700,-4.855923,0.149700
2024-08-31,2.170400,2.009972,-4.855195,0.160428
2024-09-30,2.151800,2.011762,-4.855068,0.140038
2024-10-31,2.147600,1.997550,-4.856076,0.150050
2024-11-30,2.020600,1.869028,-4.865192,0.151572
2024-12-31,1.675200,1.583701,-4.885432,0.091499
2025-01-31,1.629900,1.548647,-4.887918,0.081253
2025-02-28,1.715200,1.696337,-4.877442,0.018863
2025-03-31,1.812900,1.799568,-4.870120,0.013332
2025-04-30,1.624300,1.614338,-4.883259,0.009962
2025-05-31,1.671200,1.686237,-4.878159,-0.015037
2025-06-30,1.646900,1.632273,-4.881986,0.014627
2025-07-31,1.704400,1.690819,-4.877834,0.013581
2025-08-31,1.837900,1.795707,-4.870393,0.042193
2025-09-30,1.860500,1.899257,-4.863048,-0.038757
2025-10-31,1.795400,1.811027,-4.869307,-0.015627
2025-11-30,1.841200,1.884211,-4.864116,-0.043011
2025-12-31,1.847300,1.967165,-4.858231,-0.119865
2026-01-31,1.811200,1.938166,-4.860288,-0.126966
2026-02-28,1.775300,1.926702,-4.861101,-0.151402
2026-03-31,1.817100,1.951871,-4.859316,-0.134771
2026-04-30,1.747300,1.899954,-4.862999,-0.152654
2026-05-31,1.709000,1.856067,-4.866112,-0.147067
2026-06-30,1.733000,1.858271,-4.865956,-0.125271
2026-07-31,1.714100,1.804685,-4.869757,-0.090585
