date,index_neg,rate_factor_level,hf_fitted
2016-10-08,-121.737700,2.704700,2.761745
2016-10-09,-121.869900,2.676000,2.746444
2016-10-10,-121.929400,2.673500,2.739563
2016-10-11,-121.922200,2.683500,2.740395
2016-10-12,-121.857600,2.709800,2.747867
2016-10-13,-121.872100,2.701000,2.746190
2016-10-14,-121.979400,2.695200,2.733783
2016-10-17,-122.061800,2.690400,2.724263
2016-10-18,-122.089300,2.696500,2.721087
2016-10-19,-122.248200,2.666400,2.702751
2016-10-20,-122.410000,2.651800,2.684104
2016-10-21,-122.580100,2.645100,2.664528
2016-10-24,-122.519400,2.659500,2.671511
2016-10-25,-122.455000,2.685900,2.678923
2016-10-26,-122.218900,2.720000,2.706130
2016-10-27,-122.200400,2.706800,2.708264
2016-10-28,-122.199100,2.702700,2.708414
2016-10-31,-122.086700,2.742500,2.721387
2016-11-01,-122.026800,2.737500,2.728306
2016-11-02,-122.006500,2.737200,2.730651
2016-11-03,-122.044900,2.730100,2.726215
2016-11-04,-122.026300,2.733900,2.728364
2016-11-07,-121.821300,2.747500,2.752067
2016-11-08,-121.695400,2.763400,2.766644
2016-11-09,-121.699000,2.765100,2.766227
2016-11-10,-121.552400,2.792600,2.783220
2016-11-11,-121.439100,2.815000,2.796366
2016-11-14,-121.041500,2.857700,2.842599
2016-11-15,-120.847000,2.850100,2.865270
2016-11-16,-120.757700,2.865200,2.875692
2016-11-17,-120.485900,2.905500,2.907458
2016-11-18,-120.543900,2.890100,2.900674
2016-11-21,-120.511900,2.885100,2.904416
2016-11-22,-120.573900,2.868900,2.897166
2016-11-23,-120.720600,2.845100,2.880024
2016-11-24,-120.769800,2.850200,2.874279
2016-11-25,-120.715100,2.865000,2.880666
2016-11-28,-120.837400,2.850200,2.866390
2016-11-29,-120.491100,2.890600,2.906850
2016-11-30,-120.220700,2.950200,2.938523
2016-12-01,-119.766200,2.989300,2.991921
2016-12-02,-119.692400,2.989500,3.000610
2016-12-05,-119.547500,3.030200,3.017687
2016-12-06,-118.898200,3.115100,3.094465
2016-12-07,-119.037900,3.087700,3.077910
2016-12-08,-119.129900,3.075300,3.067019
2016-12-09,-119.119200,3.085300,3.068285
2016-12-12,-118.728500,3.145800,3.114600
2016-12-13,-118.351600,3.186300,3.159424
2016-12-14,-118.099700,3.218600,3.189462
2016-12-15,-116.958800,3.331500,3.326314
2016-12-16,-116.981200,3.280300,3.323614
2016-12-19,-116.548800,3.331600,3.375820
2016-12-20,-116.385400,3.373900,3.395599
2016-12-21,-116.711800,3.281500,3.356118
2016-12-22,-117.244000,3.190800,3.291979
2016-12-23,-117.547300,3.176900,3.255557
2016-12-26,-117.817200,3.155100,3.223224
2016-12-27,-117.796900,3.162800,3.225653
2016-12-28,-117.924900,3.122300,3.210343
2016-12-29,-118.381700,3.047100,3.155839
2016-12-30,-118.712800,3.011500,3.116465
2016-12-31,-118.718000,3.011500,3.115847
2017-01-03,-118.360100,3.105400,3.158412
2017-01-04,-118.122900,3.182300,3.186692
2017-01-05,-117.919600,3.208600,3.210977
2017-01-06,-117.985900,3.195300,3.203053
2017-01-09,-118.089700,3.169200,3.190655
2017-01-10,-118.165700,3.179200,3.181585
2017-01-11,-117.942200,3.205500,3.208275
2017-01-12,-118.034000,3.188800,3.197306
2017-01-13,-118.028800,3.202200,3.197928
2017-01-16,-117.953800,3.249600,3.206889
2017-01-17,-117.750900,3.269200,3.231160
2017-01-18,-117.750500,3.268200,3.231208
2017-01-19,-117.719300,3.258400,3.234944
2017-01-20,-117.800400,3.244000,3.225235
2017-01-22,-117.792300,3.255000,3.226204
2017-01-23,-117.820900,3.242900,3.222782
2017-01-24,-117.616100,3.283700,3.247308
2017-01-25,-117.317500,3.346300,3.283144
2017-01-26,-117.272300,3.346500,3.288577
2017-02-03,-116.910800,3.421400,3.332101
2017-02-04,-116.910100,3.409900,3.332185
2017-02-06,-116.532800,3.490500,3.377756
2017-02-07,-116.442600,3.486600,3.388672
2017-02-08,-116.458100,3.459100,3.386795
2017-02-09,-116.647000,3.414800,3.363947
2017-02-10,-116.577800,3.436800,3.372313
2017-02-13,-116.575300,3.419200,3.372615
2017-02-14,-116.588900,3.410700,3.370971
2017-02-15,-116.553600,3.405800,3.375240
2017-02-16,-116.674100,3.355900,3.360672
2017-02-17,-116.869500,3.331100,3.337082
2017-02-20,-117.098300,3.281200,3.309509
2017-02-21,-116.971800,3.301300,3.324747
2017-02-22,-117.099200,3.283900,3.309401
2017-02-23,-117.209400,3.271400,3.296140
2017-02-24,-117.125500,3.291600,3.306235
2017-02-27,-117.161300,3.287100,3.301927
2017-02-28,-117.116200,3.292100,3.307354
2017-03-01,-117.037100,3.325200,3.316879
2017-03-02,-117.026300,3.348300,3.318180
2017-03-03,-117.020500,3.357300,3.318879
2017-03-06,-116.915700,3.361500,3.331510
2017-03-07,-116.878200,3.364300,3.336032
2017-03-08,-116.724200,3.408800,3.354620
2017-03-09,-116.684000,3.415100,3.359476
2017-03-10,-116.660900,3.415600,3.362267
2017-03-13,-116.744300,3.385100,3.352192
2017-03-14,-116.789000,3.365300,3.346796
2017-03-15,-116.772000,3.352400,3.348848
2017-03-16,-116.957500,3.309700,3.326471
2017-03-17,-116.900400,3.312400,3.333355
2017-03-20,-116.802100,3.314100,3.345214
2017-03-21,-116.668700,3.314100,3.361325
2017-03-22,-116.685600,3.306800,3.359283
2017-03-23,-116.638500,3.303400,3.364974
2017-03-24,-116.868900,3.252900,3.337154
2017-03-27,-116.980300,3.245100,3.323723
2017-03-28,-116.985200,3.262600,3.323132
2017-03-29,-116.956600,3.269500,3.326579
2017-03-30,-116.950700,3.289000,3.327290
2017-03-31,-116.957400,3.282800,3.326483
2017-04-01,-117.004800,3.273000,3.320770
2017-04-05,-116.939000,3.310200,3.328701
2017-04-06,-116.908900,3.310900,3.332330
2017-04-07,-116.920300,3.296600,3.330955
2017-04-10,-116.875400,3.316600,3.336370
2017-04-11,-116.882500,3.320900,3.335514
2017-04-12,-116.800100,3.328300,3.345456
2017-04-13,-116.855400,3.322000,3.338783
2017-04-14,-116.654700,3.359900,3.363016
2017-04-17,-116.321600,3.416000,3.403329
2017-04-18,-116.186500,3.406400,3.419712
2017-04-19,-116.164800,3.406500,3.422345
2017-04-20,-116.048800,3.424000,3.436430
2017-04-21,-115.803600,3.461400,3.466248
2017-04-24,-115.565300,3.499100,3.495288
2017-04-25,-115.677000,3.456800,3.481669
2017-04-26,-115.629900,3.451900,3.487410
2017-04-27,-115.664500,3.449400,3.483192
2017-04-28,-115.648400,3.466800,3.485155
2017-05-02,-115.483700,3.487000,3.505246
2017-05-03,-115.265900,3.521900,3.531859
2017-05-04,-115.096600,3.551700,3.552581
2017-05-05,-115.057400,3.559200,3.557383
2017-05-08,-114.813500,3.604200,3.587299
2017-05-09,-114.617100,3.632500,3.611435
2017-05-10,-114.287500,3.690000,3.652034
2017-05-11,-114.468500,3.640000,3.629725
2017-05-12,-114.319800,3.652500,3.648050
2017-05-15,-114.383800,3.610000,3.640160
