ym,增长因子,通胀因子,利率因子,信用因子,汇率因子,地缘因子
2021-01,9.349060,0.059600,3.178600,1.198600,90.580002,87.650479
2021-02,40.704536,0.768300,3.279800,1.179100,90.930000,96.703138
2021-03,11.934301,1.883100,3.188700,1.122100,93.230003,97.368758
2021-04,7.988168,2.529400,3.164000,1.079800,91.279999,101.196591
2021-05,6.204910,3.018700,3.045000,0.952600,90.029999,102.266363
2021-06,4.854198,2.567600,3.077800,1.009600,92.440002,109.703660
2021-07,3.584881,2.249500,2.836300,0.997300,92.169998,110.539453
2021-08,1.856902,1.882700,2.845000,1.029400,92.629997,107.759805
2021-09,0.564032,1.781400,2.877600,1.125900,94.250000,114.943864
2021-10,1.437906,2.904100,2.973200,1.034800,94.120003,121.974422
2021-11,15.088821,3.727400,2.825000,1.098600,95.989998,104.959397
2021-12,11.911703,2.827200,2.775400,1.089700,95.669998,113.123690
2022-01,6.604821,2.200800,2.699700,0.980400,96.540001,128.412960
2022-02,3.038849,2.235800,2.775000,0.924200,96.709999,139.968884
2022-03,-2.239862,2.804400,2.787800,0.988900,98.309998,150.351936
2022-04,-6.601123,3.423700,2.838600,0.770000,102.959999,150.406209
2022-05,-1.784460,3.034500,2.742600,0.685000,101.750000,166.090227
2022-06,1.400909,3.296400,2.820500,0.695200,104.690002,157.300255
2022-07,0.497044,3.010700,2.756000,0.657100,105.900002,151.471852
2022-08,1.416876,2.465300,2.622500,0.632600,108.699997,139.090257
2022-09,2.007177,2.519800,2.760100,0.626400,112.120003,125.936460
2022-10,0.124137,1.637000,2.643300,0.621600,111.529999,135.174874
2022-11,-4.851100,1.203000,2.885000,0.952500,105.949997,126.631813
2022-12,-4.949911,1.461500,2.835300,1.460800,103.519997,126.668079
2023-01,-0.466419,1.752400,2.897700,1.269300,102.099998,126.199559
2023-02,4.702936,0.710300,2.901700,0.985600,104.870003,124.598320
2023-03,5.932973,0.218900,2.852800,0.981000,102.510002,120.920944
2023-04,5.579287,-0.648100,2.778800,0.933100,101.669998,122.303810
2023-05,0.038347,-0.928300,2.685000,1.009300,104.320000,111.433864
2023-06,-2.860516,-1.475600,2.635100,1.045800,102.910004,118.136710
2023-07,-1.225931,-1.601600,2.659700,0.980300,101.860001,131.520960
2023-08,-0.247527,-0.993600,2.557500,0.822600,103.620003,133.904406
2023-09,-0.025281,-0.902000,2.675100,0.929700,106.169998,140.991526
2023-10,1.188120,-1.045100,2.693800,0.868900,106.660004,133.097262
2023-11,3.162329,-1.398700,2.668000,0.692600,103.500000,127.426026
2023-12,3.121011,-1.154100,2.555300,0.750800,101.330002,122.596503
2024-01,0.455860,-1.318700,2.433000,0.536600,103.269997,129.444642
2024-02,-3.608631,-0.350800,2.337500,0.508900,104.160004,130.793161
2024-03,-1.584906,-0.719800,2.290100,0.568700,104.550003,138.074408
2024-04,2.976354,-0.496800,2.302800,0.459700,106.220001,136.624273
2024-05,2.827736,-0.180700,2.292600,0.330400,104.669998,132.152747
2024-06,1.903129,-0.119000,2.205800,0.346400,105.870003,140.880069
2024-07,1.408315,0.049500,2.149400,0.304500,104.099998,138.194850
2024-08,0.460106,-0.286900,2.170400,0.428000,101.699997,133.132738
2024-09,0.710680,-0.781200,2.151800,0.666900,100.779999,126.563987
2024-10,2.548071,-0.851700,2.147600,0.733900,103.980003,129.615300
2024-11,2.236681,-0.726800,2.020600,0.589700,105.739998,128.447324
2024-12,3.955791,-0.693600,1.675200,0.636600,108.489998,134.705138
2025-01,1.447587,-0.068200,1.629900,0.609100,108.370003,139.749657
2025-02,2.921187,-1.167300,1.715200,0.600300,107.610001,134.248328
2025-03,1.882563,-0.881500,1.812900,0.486200,104.209999,136.978648
2025-04,0.203984,-0.953100,1.624300,0.562600,99.470001,122.367934
2025-05,1.773109,-1.122900,1.671200,0.474900,99.330002,127.792828
2025-06,1.751443,-1.141500,1.646900,0.463200,96.879997,139.037374
2025-07,0.977565,-1.371000,1.704400,0.449900,100.029999,151.002412
2025-08,0.871363,-1.420400,1.837900,0.402500,97.769997,145.438337
2025-09,0.977874,-1.078500,1.860500,0.417300,97.769997,143.608945
2025-10,-1.669804,-0.648500,1.795400,0.367100,99.800003,141.710261
2025-11,-1.718167,-0.474500,1.841200,0.381300,99.459999,141.370777
2025-12,-0.181184,-0.359800,1.847300,0.454100,98.279999,146.994256
2026-01,1.727799,-0.411900,1.811200,0.343200,96.989998,163.811721
2026-02,1.714261,0.475500,1.775300,0.347400,97.610001,172.565031
2026-03,1.723144,0.843900,1.817100,0.366800,99.959999,213.402905
2026-04,2.727013,1.583900,1.747300,0.329100,98.080002,226.174771
2026-05,1.622637,1.745900,1.709000,0.348700,98.910004,219.662819
2026-06,3.075297,1.571900,1.733000,0.309000,101.190002,179.455173
2026-07,,,1.714100,0.297700,99.800003,201.474310
2026-08,,,,,99.788002,193.156154
