week,增长因子,通胀因子,利率因子,信用因子,汇率因子,地缘因子
2021-01-01,14.797590,-15.656496,-118.096300,1.019434,89.940002,83.971399
2021-01-08,21.141139,-13.383757,-118.147200,1.009329,90.099998,90.275025
2021-01-15,25.681050,-11.389768,-118.143600,1.006722,90.779999,87.955918
2021-01-22,27.765641,-9.629601,-118.320900,1.015325,90.239998,87.940687
2021-01-29,24.930502,-10.319150,-117.904600,1.008252,90.580002,87.650479
2021-02-05,25.593114,-10.412727,-117.679300,1.001140,91.040001,94.313763
2021-02-12,28.843885,-9.218495,-117.659700,1.006555,90.480003,97.084088
2021-02-19,32.692032,,-117.567100,1.003156,90.360001,95.590654
2021-02-26,35.889290,,-117.433800,1.008982,90.930000,96.703138
2021-03-05,43.491531,-13.148671,-117.675400,1.008495,91.980003,104.734536
2021-03-12,49.205697,-13.347482,-117.672300,1.007586,91.680000,104.039240
2021-03-19,47.623890,-12.378111,-117.836700,1.010551,91.919998,99.497891
2021-03-26,43.864479,-11.059010,-118.043700,1.015363,92.769997,99.060902
2021-04-02,39.912861,3.667796,-118.066100,1.018389,92.930000,100.292620
2021-04-09,40.527324,2.087250,-118.011600,1.019865,92.160004,96.504528
2021-04-16,41.416872,3.055486,-118.453800,1.027308,91.559998,101.364624
2021-04-23,45.261756,3.137513,-118.576500,1.028248,90.860001,99.571073
2021-04-30,45.828596,25.316366,-118.553100,1.024934,91.279999,101.196591
2021-05-07,49.445068,26.279580,-118.638500,1.023018,90.230003,103.074452
2021-05-14,47.956424,24.796886,-118.784300,1.019576,90.320000,103.792809
2021-05-21,42.960114,31.311534,-119.141100,1.026959,90.019997,100.231436
2021-05-28,42.696374,26.857886,-119.042700,1.019547,90.029999,101.504760
2021-06-04,39.171090,29.455363,-118.866900,1.017028,90.139999,104.665470
2021-06-11,37.412487,38.715005,-118.532600,1.009029,90.559998,106.484688
2021-06-18,29.480215,43.363886,-118.423800,1.008041,92.230003,107.454001
2021-06-25,30.158561,33.338404,-118.745300,1.019269,91.809998,109.567267
2021-07-02,24.635812,30.656648,-118.725600,1.021351,92.230003,111.132334
2021-07-09,27.238036,28.287125,-119.353900,1.030212,92.129997,110.360292
2021-07-16,27.792003,29.641195,-119.798700,1.029835,92.690002,108.032658
2021-07-23,30.129928,29.850730,-120.125600,1.038097,92.910004,109.257507
2021-07-30,32.789402,24.581777,-120.540100,1.041908,92.169998,110.539453
2021-08-06,29.650003,30.288583,-120.798800,1.039116,92.800003,105.323102
2021-08-13,28.966841,24.055608,-120.306800,1.027728,92.519997,106.112982
2021-08-20,23.688971,15.684935,-120.571200,1.032091,93.500000,99.290238
2021-08-27,27.031269,16.348916,-120.422600,1.031378,92.690002,108.721391
2021-09-03,27.727944,,-120.669300,1.035955,92.040001,108.825890
2021-09-10,29.870422,14.002471,-120.431200,1.031848,92.580002,108.823229
2021-09-17,27.269450,13.359167,-120.345100,1.026461,93.199997,111.116779
2021-09-24,29.402621,7.210733,-120.466300,1.029442,93.330002,113.028672
2021-10-01,24.446758,6.499309,-120.444800,1.034839,94.040001,116.473620
2021-10-08,26.052731,,-120.271300,1.027250,94.070000,120.942529
2021-10-15,32.550745,,-119.709400,1.019917,93.940002,124.007956
2021-10-22,28.789193,10.179215,-119.609500,1.014799,93.610001,123.375987
2021-10-29,25.198641,15.598704,-119.767000,1.013243,94.120003,121.974422
2021-11-05,23.010409,20.647149,-120.416700,1.025299,94.320000,119.227330
2021-11-12,24.182843,23.818769,-120.204300,1.021403,95.129997,119.714485
2021-11-19,19.138063,28.816538,-120.305400,1.022912,96.070000,115.565821
2021-11-26,17.098473,33.108680,-120.711600,1.032694,96.089996,106.891953
2021-12-03,16.436252,31.268145,-120.387800,1.025258,96.120003,104.884568
2021-12-10,14.982346,27.076469,-120.572400,1.031030,96.050003,110.847661
2021-12-17,16.475227,28.707996,-120.581600,1.042167,96.570000,107.052055
2021-12-24,15.076489,26.874277,-120.748600,1.047482,96.019997,110.226612
2021-12-31,16.490606,24.087682,-121.116600,1.058259,95.669998,113.123690
2022-01-07,15.057532,25.940522,-120.884100,1.045599,95.739998,118.674393
2022-01-14,14.968268,20.259509,-121.166600,1.047563,95.169998,124.686641
2022-01-21,18.307652,11.554042,-121.869000,1.063157,95.639999,126.787068
2022-01-28,11.962311,11.878741,-121.902000,1.058654,97.269997,128.259786
2022-02-04,12.621804,,-121.975800,1.061660,95.480003,133.660512
2022-02-11,4.095009,,-121.353700,1.041233,96.080002,137.663988
2022-02-18,4.626033,6.422680,-121.318800,1.044410,96.040001,134.451038
2022-02-25,9.118678,2.117179,-121.152200,1.033063,96.620003,135.512384
2022-03-04,13.619697,5.142238,-120.859000,1.022444,98.650002,165.655326
2022-03-11,10.607243,3.638137,-121.005800,1.045338,99.120003,158.050633
2022-03-18,15.001702,7.919238,-120.951700,1.048577,98.230003,147.362191
2022-03-25,12.606192,8.097589,-120.876400,1.047708,98.809998,164.259991
2022-04-01,11.465548,7.520686,-121.057600,1.052136,98.629997,148.385136
2022-04-08,10.196460,17.920239,-121.318100,1.053309,99.800003,145.650340
2022-04-15,6.465872,9.762843,-121.330700,1.049545,100.320000,156.670159
2022-04-22,2.728991,13.411336,-121.160100,1.040087,101.220001,150.198762
2022-04-29,-4.327660,11.652584,-121.136100,1.032925,102.959999,150.406209
2022-05-06,-7.860249,8.739311,-121.144900,1.029658,103.660004,159.926945
2022-05-13,-5.180760,6.799766,-121.299700,1.029218,104.559998,158.567291
2022-05-20,-4.974480,13.544822,-121.406900,1.025401,103.150002,161.108595
2022-05-27,-1.429699,10.599690,-121.898700,1.029092,101.669998,164.443355
2022-06-03,-1.024828,15.087196,-121.504400,1.016190,102.139999,174.182657
2022-06-10,5.460164,14.335039,-121.496500,1.016890,104.150002,173.332918
2022-06-17,-0.571178,21.088274,-121.460100,1.012720,104.699997,163.105911
2022-06-24,-7.021932,21.124080,-121.317600,1.004900,104.190002,156.936922
2022-07-01,-9.623341,23.332718,-121.165400,1.003155,105.139999,160.251016
2022-07-08,-10.435216,22.908395,-120.964800,0.993821,107.010002,155.249834
2022-07-15,-21.734085,29.198552,-121.404400,0.999326,108.059998,147.200054
2022-07-22,-18.093792,24.811134,-121.558600,0.996245,106.730003,144.132072
2022-07-29,-11.600750,25.790687,-121.819800,0.997376,105.900002,151.471852
