ym,mobility_factor,hf_yoy
2015-12,0.900000,8.549797
2016-01,0.900000,12.128816
2016-02,0.600000,8.935115
2016-03,0.000000,8.276894
2016-04,-0.300000,9.976256
2016-05,-0.800000,0.470735
2016-06,-0.600000,4.907310
2016-07,-2.000000,7.107267
2016-08,-0.900000,-4.254551
2016-09,-1.000000,-2.914430
2016-10,-1.100000,-6.560107
2016-11,-1.900000,-9.059032
2016-12,-1.500000,-7.808235
2017-01,-5.707826,-13.488496
2017-02,-5.933288,-17.149998
2017-03,-5.592538,-12.152530
2017-04,-5.658443,-17.257586
2017-05,-6.374487,-18.698120
2017-06,-5.816523,-22.597045
2017-07,-6.652253,-24.234716
2017-08,-6.548973,-22.364751
2017-09,-5.912994,-20.702867
2017-10,-6.078253,-23.531335
2017-11,-5.377429,-23.540251
2017-12,-6.016422,-25.576761
2018-01,-4.833579,-27.992418
2018-02,-4.588316,-25.193130
2018-03,-4.490308,-20.613540
2018-04,-4.352969,-19.467834
2018-05,-3.899076,-17.732394
2018-06,-3.761270,-13.236453
2018-07,-2.985086,-9.514203
2018-08,-3.316139,-10.413120
2018-09,-2.908433,-14.296697
2018-10,-2.789977,-10.897156
2018-11,-2.307183,-4.610587
2018-12,-2.159731,-0.953046
2019-01,-2.451788,0.517182
2019-02,-2.645691,1.964700
2019-03,-2.562117,0.740853
2019-04,-2.305548,-3.199848
2019-05,-2.525001,1.471733
2019-06,-2.693424,-2.094055
2019-07,-2.748681,-5.497997
2019-08,-2.476172,-1.602780
2019-09,-2.266387,0.468680
2019-10,-2.181898,3.067070
2019-11,-2.469227,0.471616
2019-12,-1.992756,-2.840036
2020-01,-2.300000,-1.004341
2020-02,-1.900000,5.115858
2020-03,-1.400000,6.056152
2020-04,-0.900000,6.762223
2020-05,-1.400000,6.405586
2020-06,-1.700000,8.473734
2020-07,-2.200000,6.900612
2020-08,-2.900000,1.406324
2020-09,-2.600000,-0.525838
2020-10,-3.200000,-2.152841
2020-11,-2.900000,-6.137188
2020-12,-3.200000,-9.413537
2021-01,-3.600000,-13.795704
2021-02,-3.200000,-15.509205
2021-03,-2.900000,-14.595013
2021-04,-3.600000,-14.000840
2021-05,-2.700000,-15.358149
2021-06,-2.400000,-13.784464
2021-07,-2.400000,-4.624927
2021-08,-2.100000,-0.067806
2021-09,-1.700000,1.675078
2021-10,-1.300000,1.069350
2021-11,-1.600000,9.379188
2021-12,-1.300000,6.000567
2022-01,-0.700000,10.617444
2022-02,-1.000000,13.968943
2022-03,-0.800000,10.522606
2022-04,0.300000,4.067425
2022-05,0.600000,8.057044
2022-06,0.600000,3.437190
2022-07,1.300000,5.644724
2022-08,1.700000,1.902482
2022-09,1.500000,-2.217843
2022-10,1.500000,6.121981
2022-11,2.400000,0.657444
2022-12,2.200000,4.556506
2023-01,3.200000,3.014461
2023-02,3.000000,4.882271
2023-03,2.700000,1.193048
2023-04,2.400000,2.101184
2023-05,2.100000,3.962326
2023-06,2.300000,7.781822
2023-07,1.800000,2.933591
2023-08,1.600000,0.295199
2023-09,1.300000,1.683687
2023-10,1.000000,1.384186
2023-11,0.600000,1.359045
2023-12,0.200000,4.648184
2024-01,-0.800000,0.997619
2024-02,-0.300000,-1.992854
2024-03,-0.400000,-1.781259
2024-04,-1.100000,-1.182314
2024-05,-1.400000,-3.524822
2024-06,-1.900000,-8.206869
2024-07,-1.900000,-8.624510
2024-08,-1.800000,-6.832022
2024-09,-1.200000,-8.603763
2024-10,-0.300000,-2.499198
2024-11,-0.700000,-4.762666
2024-12,-0.700000,-10.081944
2025-01,-1.000000,-6.731589
2025-02,-1.200000,3.431788
2025-03,-1.400000,1.525217
2025-04,-0.700000,5.283764
2025-05,-0.800000,2.657154
2025-06,-0.600000,2.669795
2025-07,-0.200000,7.191319
2025-08,0.000000,5.104158
2025-09,-0.300000,2.894113
2025-10,-0.300000,5.537003
2025-11,-0.500000,1.029328
2025-12,0.200000,1.257974
2026-01,0.800000,4.448811
2026-02,0.800000,5.124445
2026-03,0.600000,0.747754
2026-04,0.800000,2.535982
2026-05,0.900000,3.480911
