ym,gpr_actual,gpr_fitted
2018-04,122.027045,99.547212
2018-05,122.076221,102.855370
2018-06,103.357341,104.703245
2018-07,109.558013,98.330966
2018-08,113.044931,103.252282
2018-09,73.963462,109.695397
2018-10,92.582653,98.903233
2018-11,79.833054,78.500539
2018-12,86.580196,70.302276
2019-01,87.507429,81.954701
2019-02,98.555233,89.000092
2019-03,79.655983,91.560834
2019-04,78.964167,96.879970
2019-05,105.103446,83.958272
2019-06,103.331771,86.974838
2019-07,93.060782,86.542907
2019-08,106.015925,81.275134
2019-09,92.551975,84.153506
2019-10,95.208067,84.846616
2019-11,73.708919,90.238568
2019-12,72.312518,95.825841
2020-01,139.870363,83.267984
2020-02,75.726999,73.684617
2020-03,82.767414,44.064566
2020-04,69.764319,45.440724
2020-05,69.501401,61.779670
2020-06,71.605732,66.388865
2020-07,68.531341,70.734100
2020-08,64.930296,74.749822
2020-09,83.041087,70.972691
2020-10,76.710518,68.942603
2020-11,70.364893,80.540127
2020-12,62.289101,83.971399
2021-01,74.981957,87.259613
2021-02,72.324578,96.703138
2021-03,77.552954,97.368758
2021-04,84.632640,101.069942
2021-05,90.027562,102.921446
2021-06,73.630749,108.327986
2021-07,56.993935,110.539453
2021-08,87.949683,108.510966
2021-09,79.088721,114.247292
2021-10,78.009378,122.485387
2021-11,85.211956,104.950663
2021-12,100.077924,113.123690
2022-01,130.112113,128.679361
2022-02,213.195909,140.132655
2022-03,306.990706,150.351936
2022-04,188.664907,150.406209
2022-05,138.142316,165.633853
2022-06,127.808539,157.090628
2022-07,113.903252,151.471852
2022-08,131.284006,139.096807
2022-09,128.051448,126.174473
2022-10,138.940342,135.043857
2022-11,113.918228,127.057617
2022-12,108.728482,126.668079
2023-01,100.224959,126.151519
2023-02,118.781113,124.598320
2023-03,102.285567,120.868537
2023-04,104.482804,122.303810
2023-05,104.399193,111.112873
2023-06,109.055249,118.191300
2023-07,103.936116,131.520960
2023-08,98.635472,134.297455
2023-09,96.741805,140.845224
2023-10,193.917797,133.199891
2023-11,154.009596,127.292826
2023-12,139.744903,122.596503
2024-01,157.204006,129.468662
2024-02,144.169614,130.786611
2024-03,131.245446,137.897536
2024-04,160.863402,136.486705
2024-05,128.431130,130.456082
2024-06,111.858382,140.504488
2024-07,91.707353,138.194850
2024-08,138.559625,133.200430
2024-09,128.259497,126.107613
2024-10,129.361377,130.307504
2024-11,127.360476,128.659134
2024-12,138.005002,134.705138
2025-01,112.211893,140.872033
2025-02,133.363475,134.851004
2025-03,168.740012,136.978648
2025-04,140.210099,122.367934
2025-05,165.930866,127.257844
2025-06,218.088959,138.622489
2025-07,132.337919,151.002412
2025-08,137.177847,144.204598
2025-09,125.222567,142.113172
2025-10,152.109323,140.376076
2025-11,103.572681,139.322551
2025-12,131.951721,146.994256
2026-01,167.481338,163.739662
2026-02,115.957393,171.543102
2026-03,325.307637,213.402905
2026-04,247.826501,242.859732
2026-05,200.679948,215.939765
2026-06,179.218680,179.053389
2026-07,176.930857,201.474310
